date,open,high,low,close,volume
2025-09-02,590.55,594.0,567.86,579.68,5267320
2025-09-03,586.285,586.285,565.43,577.04,3657481
2025-09-04,580.81,600.37,580.06,598.81,3195354
2025-09-05,599.96,604.5,565.5,582.08,3477710
2025-09-08,594.41,606.0,584.9401,600.23,2513708
2025-09-09,606.35,607.69,594.77,605.7,1863901
2025-09-10,625.0,645.19,623.0,643.56,3878653
2025-09-11,648.75,653.5,620.1,634.15,4099922
2025-09-12,632.12,646.8799,624.15,625.55,2640351
2025-09-15,630.15,639.89,624.1,628.68,1851879
2025-09-16,629.5,633.52,608.73,617.91,3104072
2025-09-17,616.4,619.1138,601.12,614.79,2058377
2025-09-18,622.96,627.1,611.0,611.0,2245558
2025-09-19,611.69,625.66,596.5064,624.17,4107343
2025-09-22,620.11,648.5,620.11,644.37,2566029
2025-09-23,644.68,644.7211,622.2002,633.41,2427243
2025-09-24,640.0,642.0,624.19,628.97,1617199
2025-09-25,614.905,619.747,593.38,607.52,3202477
2025-09-26,610.0,615.14,598.11,605.17,1845327
2025-09-29,612.45,616.44,596.38,602.43,2188685
2025-09-30,604.88,614.94,603.2989,614.9,1818698
2025-10-01,599.64,610.66,595.0,606.15,2423637
2025-10-02,611.11,622.5,603.615,606.23,2044562
2025-10-03,610.29,611.75,588.0,594.99,2668461
2025-10-06,606.0,608.59,593.7,603.22,1950843
2025-10-07,603.155,609.39,592.0,606.12,2161662
2025-10-08,613.0,626.4405,599.0,625.45,2286471
2025-10-09,629.0,637.15,621.111,634.27,2414018
2025-10-10,630.0,634.27,602.5953,604.56,3003569
2025-10-13,613.18,655.99,613.1401,648.25,3406783
2025-10-14,635.0,656.8799,615.84,644.41,2890472
2025-10-15,650.17,664.6931,613.59,615.95,3246024
2025-10-16,621.5,623.625,595.2,602.0,3500605
2025-10-17,595.27,608.8188,591.6511,600.0,2747710
2025-10-20,608.12,610.0,593.68,594.07,2634422
2025-10-21,593.86,596.7799,581.76,585.33,3956373
2025-10-22,607.0,609.54,532.72,576.0,10333100
2025-10-23,580.0,600.0,580.0,595.15,3952712
2025-10-24,607.0,613.81,584.18,584.39,3694197
2025-10-27,590.8,594.075,580.01,584.39,2842374
2025-10-28,590.0,591.92,565.0,570.98,3589268
2025-10-29,576.27,585.575,569.2712,577.97,2808513
2025-10-30,570.0,592.67,569.5,574.07,2305116
2025-10-31,580.13,592.0,576.5,585.14,2789457
2025-11-03,590.5,593.27,576.76,581.26,1853237
2025-11-04,571.0,576.21,541.44,547.96,3994942
2025-11-05,550.0,567.53,541.29,559.7,2844722
2025-11-06,558.09,560.505,545.41,550.17,2215252
2025-11-07,546.7,576.89,539.1,575.13,2823781
2025-11-10,586.32,595.84,568.2,579.8,2555821
2025-11-11,580.605,582.8,563.1,576.08,1748507
2025-11-12,579.46,588.94,574.01,575.4,2026343
2025-11-13,574.32,574.32,537.36,558.17,5166875
2025-11-14,545.2,591.81,542.9087,578.31,4037287
2025-11-17,573.0,592.35,569.84,577.02,2998024
2025-11-18,569.06,576.4783,552.84,554.93,2986001
2025-11-19,561.0,600.0,560.8,595.37,4212143
2025-11-20,607.2,628.01,557.69,558.03,4874636
2025-11-21,563.01,565.75,530.16,555.84,4872810
2025-11-24,559.44,583.0,558.26,580.49,2748868
2025-11-25,575.0,582.0,553.25,572.56,2356480
2025-11-26,581.7,596.98,579.48,589.72,2223829
2025-11-28,595.0,599.77,588.53,599.77,1006604
2025-12-01,590.0,590.0,574.8,576.9,2302455
2025-12-02,586.17,609.84,585.0001,601.58,2890812
2025-12-03,595.88,608.8468,575.38,601.97,2754483
2025-12-04,605.0,639.14,602.9,629.11,3698500
2025-12-05,630.86,640.0,621.2,631.32,2348031
2025-12-08,631.06,636.3977,607.4,621.9,2540100
2025-12-09,617.0,636.88,613.2001,625.3,3017483
2025-12-10,692.15,731.0,679.0001,723.0,11396420
2025-12-11,711.15,711.15,681.2,704.2,4830880
2025-12-12,697.85,698.94,656.37,671.71,5225703
2025-12-15,688.48,695.05,675.0,681.35,3529608
2025-12-16,687.0,699.88,671.0052,686.22,3572244
2025-12-17,687.0,693.9999,613.09,614.19,6770081
2025-12-18,649.3,658.69,636.535,639.43,4426464
2025-12-19,646.78,660.59,641.6,658.28,4489097
2025-12-22,671.11,671.4,656.8,661.81,2694275
2025-12-23,664.82,664.82,654.0,661.45,1997567
2025-12-24,660.63,673.5,658.27,667.32,1110890
2025-12-26,667.46,668.2,660.4899,663.46,1155311
2025-12-29,659.6,671.0,651.6901,663.46,2186083
2025-12-30,665.65,668.44,659.35,659.64,1206972
2025-12-31,656.8,666.66,652.75,653.57,1259928
2026-01-02,661.19,679.77,658.4,679.55,2741768
2026-01-05,690.62,698.74,669.5,680.86,2446599
2026-01-06,681.11,687.045,658.8,686.33,2490832
2026-01-07,686.0,686.99,661.3,662.32,2601080
2026-01-08,661.12,661.12,619.75,628.4,4310075
2026-01-09,632.32,632.32,621.11,622.5,3105778
2026-01-12,619.87,644.75,617.11,639.77,2828854
2026-01-13,641.0,659.17,640.3994,652.09,2090153
2026-01-14,647.92,654.0,637.2,644.18,2396203
2026-01-15,654.17,666.28,639.43,642.23,2394934
2026-01-16,665.06,692.5,663.0,681.55,4986755
2026-01-20,668.12,701.0,664.545,684.86,3901877
2026-01-21,686.23,690.05,652.59,667.89,4022742
2026-01-22,671.91,679.33,645.26,661.67,2858754
2026-01-23,662.18,666.13,649.0,657.78,2009616
2026-01-26,656.0,687.68,656.0,665.99,2662114
2026-01-27,673.425,696.4,673.425,692.7,4714661
2026-01-28,691.4,723.0,674.01,711.59,5776324
2026-01-29,717.0,722.72,681.7,717.39,3490954
2026-01-30,716.495,752.015,715.96,726.37,3865733
2026-02-02,739.68,762.36,733.0,754.97,4074379
2026-02-03,775.0,791.95,754.11,780.25,3856158
2026-02-04,794.0,795.5,708.75,746.22,5057996
2026-02-05,717.23,758.34,714.2512,737.53,3608563
2026-02-06,758.07,779.56,753.0,779.35,3283908
2026-02-09,776.21,814.8599,771.01,801.54,3105772
2026-02-10,803.855,809.37,787.0001,790.79,2458281
2026-02-11,822.93,834.0,802.7,823.67,2820998
2026-02-12,827.0,845.9999,811.6,816.56,2677687
2026-02-13,815.0,823.1,795.11,802.13,2020873
2026-02-17,794.24,828.53,790.6202,819.15,2221624
2026-02-18,820.0,832.8999,811.0,817.55,1808911
2026-02-19,816.675,837.3999,810.54,834.61,1655631
2026-02-20,829.85,842.5,822.0001,830.34,1712678
2026-02-23,823.0,833.1,812.74,831.7,1438182
2026-02-24,830.95,879.89,824.9,879.73,2305259
2026-02-25,887.96,894.9299,873.61,876.01,2293148
2026-02-26,877.37,879.55,830.7,876.46,2796742
2026-02-27,867.7,876.355,853.34,873.6,2456197
2026-03-02,865.0,893.56,854.0,881.18,2421431
2026-03-03,864.44,864.44,811.56,842.0,3558097
2026-03-04,850.6,868.61,838.09,841.27,1817473
2026-03-05,830.01,844.25,791.0949,815.01,3209153
2026-03-06,792.97,816.14,782.37,789.23,2678645
2026-03-09,782.53,830.49,777.0,830.1,2878026
2026-03-10,835.96,852.9199,832.1,839.2,2393625
2026-03-11,836.03,852.7499,832.25,847.65,1706690
2026-03-12,844.13,845.25,819.1,832.11,2142896
2026-03-13,832.99,845.29,802.76,805.02,2271146
2026-03-16,817.5,837.0,811.12,827.37,2361357
2026-03-17,827.37,844.27,817.52,844.05,2259252
2026-03-18,844.525,880.21,844.525,858.47,2193134
2026-03-19,841.5,878.18,829.95,877.39,2509526
2026-03-20,877.77,891.99,844.25,851.07,4438066
2026-03-23,865.685,920.63,860.0,882.64,3353891
2026-03-24,864.13,913.58,860.01,909.41,2782041
2026-03-25,927.0,948.38,920.9,923.69,2864889
2026-03-26,915.0,917.2636,871.01,873.12,3000650
2026-03-27,867.555,878.39,846.0,853.16,2494731
2026-03-30,860.64,862.7099,807.0,817.35,2830824
2026-03-31,827.13,873.32,824.01,872.9,3469215
2026-04-01,888.49,912.62,887.49,894.78,2467657
2026-04-02,869.0,913.0,865.95,898.57,1944149
2026-04-06,901.83,911.4999,887.0001,897.36,1386258
2026-04-07,894.19,910.9399,879.2,910.75,1399055
2026-04-08,950.0,962.7197,930.55,936.07,2336882
2026-04-09,943.56,979.43,940.76,968.02,2061251
2026-04-10,973.11,999.43,970.0101,991.32,2164566
2026-04-13,998.0,1007.38,987.16,991.12,1636176
2026-04-14,1000.0,1006.295,979.0,987.5,2028253
2026-04-15,985.1,1003.99,973.68,985.92,2306947
2026-04-16,982.64,989.0,969.52,978.32,1402664
2026-04-17,988.65,1009.49,977.21,1002.75,2328796
2026-04-20,1006.23,1009.8899,990.18,990.18,1804871
2026-04-21,994.0,1016.0,984.09,991.3,2111121
2026-04-22,1076.16,1142.0,1074.22,1127.56,4184734
2026-04-23,1147.89,1181.95,1133.49,1149.53,3073204
2026-04-24,1161.02,1167.0,1125.02,1149.19,3633758
2026-04-27,1135.235,1140.0,1084.95,1120.23,3845840
2026-04-28,1090.0,1091.83,1050.4901,1088.93,4205987
2026-04-29,1091.79,1107.5,1047.5,1063.11,3721142
2026-04-30,1079.23,1093.9999,1066.61,1083.46,3533224
2026-05-01,1088.83,1093.68,1062.0,1062.95,1890378
2026-05-04,1072.27,1098.9,1066.38,1073.95,1923213
2026-05-05,1093.5,1109.95,1088.0,1095.21,2075628
2026-05-06,1114.0,1125.43,1069.27,1118.96,2282777
2026-05-07,1114.92,1115.83,1040.42,1045.63,2588259
2026-05-08,1067.34,1069.295,1034.43,1040.15,1828693
2026-05-11,1041.78,1086.23,1031.15,1073.08,2509952
2026-05-12,1054.0,1076.6799,1033.285,1071.98,2102760
2026-05-13,1084.65,1085.0,1047.3,1062.57,1588376
2026-05-14,1061.46,1090.7,1049.0,1090.53,1690623
2026-05-15,1066.0,1066.0,1038.5,1049.23,2445834
2026-05-18,1049.0,1049.33,980.1401,1012.25,3116472
2026-05-19,994.3,1024.84,984.15,1011.8,2246667
2026-05-20,1024.03,1041.99,1004.5,1024.52,2564634
2026-05-21,1018.0,1046.8799,1014.7178,1043.82,1633665
2026-05-22,1060.39,1061.4,1034.2,1038.74,1475834
2026-05-26,1045.78,1094.9999,1045.0,1070.47,1879653
2026-05-27,1047.28,1052.55,1017.33,1031.89,2270044
2026-05-28,1025.4,1032.7456,990.46,996.0,3013964
2026-05-29,996.01,1003.77,952.01,968.32,5284873
2026-06-01,959.97,970.64,939.0,950.54,2679348
2026-06-02,962.78,977.0,944.15,969.67,2248232
2026-06-03,976.99,992.0,956.59,959.36,2079469
2026-06-04,940.0,968.75,923.0,963.33,2180354
2026-06-05,947.29,953.0,921.455,933.61,3053471
2026-06-08,947.91,952.79,931.86,933.85,1842225
2026-06-09,927.99,947.84,878.0,920.15,3842711
2026-06-10,897.51,908.05,856.01,867.09,5302759
2026-06-11,888.07,920.52,884.735,906.79,4261229
2026-06-12,907.5,943.68,907.5,940.66,2787669
2026-06-15,970.0,987.22,957.36,979.07,3428155
2026-06-16,991.85,1009.3,980.73,982.35,2761128
2026-06-17,997.4,1065.38,992.0,1048.86,3996017
2026-06-18,1091.03,1117.96,1087.28,1109.73,4344726
2026-06-22,1130.04,1142.0,1112.43,1127.59,3916281
2026-06-23,1055.15,1073.0,1034.0001,1034.98,3919238
2026-06-24,1046.16,1070.999,1023.08,1057.65,2948121
2026-06-25,1089.04,1109.98,1055.0,1085.47,2753680
2026-06-26,1049.275,1084.4012,1042.0001,1045.17,3654217
2026-06-29,1055.65,1111.73,1047.0,1102.51,3180542
2026-06-30,1117.0,1178.2,1103.35,1174.86,3096186
2026-07-01,1146.4,1161.69,1116.59,1134.35,2359598
2026-07-02,1138.935,1143.37,1087.08,1113.11,2363020
2026-07-06,1140.52,1195.94,1138.49,1152.04,2882933
2026-07-07,1096.84,1099.2556,1028.0,1077.08,4223696
2026-07-08,1075.0,1109.2,1050.96,1070.99,2804235
2026-07-09,1110.0,1115.075,1065.31,1075.26,2327780
2026-07-10,1077.0,1102.79,1053.995,1091.57,1738766
2026-07-13,1070.0,1089.21,1038.89,1042.6,2258470
2026-07-14,1071.07,1082.0,1057.47,1066.01,1771494
2026-07-15,1070.91,1078.8207,1000.25,1055.28,2693369
2026-07-16,1034.99,1049.89,1013.3301,1036.22,2829453
2026-07-17,995.0,1069.11,982.0,1057.84,3284982
