date,open,high,low,close,volume
2025-09-02,92.54,93.8343,92.405,93.33,7150345
2025-09-03,93.15,93.56,91.42,92.25,5365396
2025-09-04,92.26,94.35,91.79,92.85,6641476
2025-09-05,93.14,93.94,92.52,92.9,4856952
2025-09-08,92.16,93.0,91.385,92.99,5024124
2025-09-09,92.835,94.31,92.73,94.07,7038706
2025-09-10,94.25,94.3,91.59,92.32,5625566
2025-09-11,92.31,94.27,92.25,94.25,6957857
2025-09-12,93.96,95.29,93.51,94.03,7334440
2025-09-15,94.6,94.93,93.22,93.43,5716301
2025-09-16,93.27,95.54,93.27,94.19,7722422
2025-09-17,94.42,95.12,93.8075,94.58,8145826
2025-09-18,94.49,95.64,93.815,95.59,9364631
2025-09-19,95.91,95.91,94.075,95.08,15677040
2025-09-22,95.39,95.5,94.3,94.62,7581703
2025-09-23,94.52,95.6565,94.165,94.96,7101065
2025-09-24,94.85,95.985,94.8,95.74,11265280
2025-09-25,95.27,95.63,92.72,94.3,7560775
2025-09-26,93.85,94.73,93.48,94.22,5042833
2025-09-29,94.21,94.325,93.29,93.97,5452013
2025-09-30,93.9,95.385,93.805,95.24,7119027
2025-10-01,95.15,95.73,91.865,94.81,10343770
2025-10-02,94.41,95.74,93.98,95.48,6212680
2025-10-03,95.67,97.94,95.38,97.7,8573349
2025-10-06,97.635,98.66,97.63,98.43,8134730
2025-10-07,98.33,99.37,97.9,98.33,5894117
2025-10-08,98.57,98.68,96.77,97.87,7470103
2025-10-09,98.19,98.235,95.96,96.5,6207278
2025-10-10,96.68,97.045,95.3,95.45,6829767
2025-10-13,95.7,96.405,95.06,95.58,4619902
2025-10-14,95.26,96.6,95.26,96.54,4863007
2025-10-15,96.07,96.86,94.06,95.34,7246922
2025-10-16,95.2,95.97,94.7,95.04,4802755
2025-10-17,95.28,95.81,94.9,95.78,6136039
2025-10-20,96.09,96.6,94.9303,95.92,5137888
2025-10-21,95.62,96.16,95.24,95.83,4405415
2025-10-22,96.585,97.24,95.55,95.9,6652051
2025-10-23,96.15,96.24,91.87,94.21,9122220
2025-10-24,94.42,94.96,93.29,93.67,4309275
2025-10-27,93.735,94.24,93.11,94.13,5562825
2025-10-28,93.81,94.595,93.21,93.23,4279834
2025-10-29,92.78,92.805,91.3801,91.73,6963908
2025-10-30,91.77,91.945,90.705,90.97,5617394
2025-10-31,90.6,91.32,90.09,90.7,5959771
2025-11-03,90.65,90.65,89.04,90.2,7307737
2025-11-04,90.18,90.47,89.66,90.42,4729161
2025-11-05,89.8,90.49,89.36,90.4,5675116
2025-11-06,90.09,90.82,89.62,90.06,5462225
2025-11-07,90.7,92.24,90.1971,92.2,7520670
2025-11-10,91.95,92.79,91.52,92.66,5375272
2025-11-11,92.97,95.4,92.8,95.4,8555772
2025-11-12,95.0,96.29,94.82,95.81,6321992
2025-11-13,95.0,96.71,94.64,96.14,5284495
2025-11-14,95.81,96.57,95.14,95.87,6324550
2025-11-17,95.82,97.25,95.8,96.28,11087620
2025-11-18,99.97,102.48,99.41,100.8,21965410
2025-11-19,100.99,102.59,99.97,100.34,12429760
2025-11-20,100.37,101.19,99.084,99.35,6726453
2025-11-21,99.65,102.03,99.26,101.2,11381040
2025-11-24,101.525,103.7,100.9675,103.2,13926400
2025-11-25,103.8,105.6,103.8,105.35,9483222
2025-11-26,105.06,106.33,104.7,105.02,5249721
2025-11-28,105.04,105.33,104.62,105.33,2618151
2025-12-01,105.0,105.73,103.31,103.34,6666521
2025-12-02,103.42,103.47,101.705,102.03,5797376
2025-12-03,102.54,102.91,101.58,101.97,4167811
2025-12-04,102.04,102.75,101.7419,101.99,4480706
2025-12-05,102.11,102.46,101.305,101.36,5158121
2025-12-08,101.81,102.49,101.05,101.26,5528785
2025-12-09,101.43,101.9999,99.575,99.62,4666268
2025-12-10,99.5,101.07,99.49,100.77,6158778
2025-12-11,101.39,101.39,99.62,99.75,8339069
2025-12-12,99.85,100.11,99.0,99.87,6546521
2025-12-15,99.9,100.67,98.35,98.57,9569280
2025-12-16,98.55,98.62,97.17,97.72,5639065
2025-12-17,97.81,98.5899,97.76,98.3,5574541
2025-12-18,98.69,99.2587,98.085,98.48,6306005
2025-12-19,98.54,99.24,98.2153,98.63,12760080
2025-12-22,98.4,98.48,96.89,97.71,6546910
2025-12-23,97.51,97.89,97.27,97.47,3579805
2025-12-24,97.41,97.6,97.0,97.27,1978993
2025-12-26,96.71,96.7499,96.01,96.52,4340534
2025-12-29,96.74,96.91,95.96,96.15,4790828
2025-12-30,96.32,96.88,96.0801,96.66,3741169
2025-12-31,96.55,96.9899,95.94,96.06,4731633
2026-01-02,96.04,96.4399,95.29,96.05,6221960
2026-01-05,95.63,97.555,95.17,97.36,6597746
2026-01-06,98.06,100.54,97.71,100.31,7107604
2026-01-07,100.68,101.32,99.37,99.77,7117928
2026-01-08,99.62,100.4,98.67,98.69,5386152
2026-01-09,98.95,99.195,97.1,97.53,5982810
2026-01-12,97.87,98.0,95.87,96.95,7837007
2026-01-13,97.315,97.315,95.93,96.42,5823362
2026-01-14,96.33,98.77,95.83,98.74,9909283
2026-01-15,98.38,99.46,97.6375,99.0,6703773
2026-01-16,98.68,98.95,96.67,96.76,9035618
2026-01-20,96.26,98.67,95.685,98.6,10113610
2026-01-21,99.29,101.03,98.74,100.29,11295110
2026-01-22,100.415,102.08,100.115,101.34,9978749
2026-01-23,101.01,101.72,100.23,100.88,8482439
2026-01-26,100.945,102.1,100.575,100.67,8402344
2026-01-27,100.23,102.03,99.68,100.69,7132022
2026-01-28,100.46,101.25,100.26,100.79,6643248
2026-01-29,101.14,101.59,99.69,101.0,10125990
2026-01-30,101.66,103.02,101.275,102.96,8579907
2026-02-02,102.85,103.32,102.11,102.71,7284239
2026-02-03,102.71,105.025,102.555,103.18,10725640
2026-02-04,103.32,105.5,101.19,101.84,12572090
2026-02-05,101.92,104.5,101.92,102.95,9834986
2026-02-06,102.99,103.7499,101.89,102.9,6618197
2026-02-09,103.59,103.625,101.43,101.65,8888848
2026-02-10,101.6,103.11,100.88,101.42,9032288
2026-02-11,101.22,101.22,98.62,101.08,10405990
2026-02-12,101.13,102.05,100.56,100.88,9379147
2026-02-13,100.92,102.505,99.12,99.49,10354800
2026-02-17,95.875,98.12,95.5,96.41,17374820
2026-02-18,96.0,98.55,95.945,98.49,10367990
2026-02-19,98.36,98.7205,96.88,97.58,9888427
2026-02-20,97.18,97.865,96.465,96.86,7188694
2026-02-23,96.65,98.98,96.54,98.61,5960120
2026-02-24,98.54,98.73,96.57,96.75,7614107
2026-02-25,96.32,97.39,95.895,96.65,6830917
2026-02-26,97.1,97.6,95.985,97.03,7910880
2026-02-27,96.69,98.0599,96.3,97.66,8290547
2026-03-02,97.11,98.77,96.71,98.1,6393946
2026-03-03,97.27,97.7284,95.985,96.71,6728039
2026-03-04,96.68,96.9,95.42,95.6,7236087
2026-03-05,94.75,94.8981,92.315,93.01,8368744
2026-03-06,92.49,92.67,90.17,90.9,10787210
2026-03-09,90.0,91.54,89.01,91.34,11112360
2026-03-10,91.21,91.41,89.1506,89.89,8834439
2026-03-11,90.0,90.35,87.99,88.97,7974055
2026-03-12,89.38,90.17,87.31,87.38,11034140
2026-03-13,87.66,88.56,86.72,87.14,7923383
2026-03-16,87.41,88.75,87.25,88.24,8110063
2026-03-17,88.46,89.365,88.16,88.44,6283027
2026-03-18,88.05,88.727,87.06,87.21,7081775
2026-03-19,87.25,87.7197,86.51,86.87,5755710
2026-03-20,86.83,87.275,85.78,86.16,11113870
2026-03-23,87.24,87.68,86.36,87.17,6903337
2026-03-24,86.49,87.3,86.1601,86.58,6696405
2026-03-25,86.9,88.07,86.3401,87.89,9380121
2026-03-26,87.3,89.18,87.3,87.67,10770060
2026-03-27,87.32,87.53,86.35,87.14,10312350
2026-03-30,87.45,87.53,85.65,85.74,8716183
2026-03-31,86.72,86.78,84.92,86.65,7342182
2026-04-01,86.58,86.96,85.4,86.06,7408644
2026-04-02,85.86,86.965,85.2101,86.63,4687667
2026-04-06,86.43,87.3,86.07,86.28,4532309
2026-04-07,85.99,86.97,85.31,86.42,6995410
2026-04-08,87.865,88.84,86.91,88.65,12720900
2026-04-09,87.91,88.55,87.3,87.91,7896838
2026-04-10,88.35,88.35,87.07,87.21,8279818
2026-04-13,87.0,88.16,86.41,88.0,8277152
2026-04-14,88.0,88.67,87.43,88.12,5640336
2026-04-15,87.86,87.905,86.45,87.1,8543161
2026-04-16,86.82,87.58,85.505,85.65,8816850
2026-04-17,85.72,87.05,85.55,86.19,10461060
2026-04-20,85.99,87.05,84.99,85.0,8500582
2026-04-21,85.25,85.35,81.96,82.0,10786360
2026-04-22,82.9,84.27,82.66,83.22,10669070
2026-04-23,83.85,84.25,82.87,83.79,7864775
2026-04-24,83.51,83.77,82.775,83.32,6570203
2026-04-27,83.12,84.05,82.8632,82.92,6635219
2026-04-28,83.73,84.0,81.25,81.9,9889167
2026-04-29,81.44,81.45,78.91,79.37,10814130
2026-04-30,79.5,81.11,78.98,80.97,15781680
2026-05-01,80.95,81.17,79.97,80.0,8268505
2026-05-04,79.47,79.5949,78.29,78.3,11134050
2026-05-05,78.5,78.55,77.3913,77.79,9327189
2026-05-06,78.18,78.4599,77.16,77.6,11477420
2026-05-07,77.99,79.115,77.64,77.96,10008260
2026-05-08,78.34,78.34,75.91,76.15,10199480
2026-05-11,76.25,76.5,74.4,74.54,10495720
2026-05-12,74.97,77.125,74.6,76.82,10255150
2026-05-13,75.93,76.48,75.4,76.21,10975170
2026-05-14,76.355,77.0983,75.935,76.97,7444027
2026-05-15,77.0,77.38,75.85,76.15,9127303
2026-05-18,76.3,77.55,76.03,77.32,10973290
2026-05-19,77.35,78.99,76.74,78.58,11931680
2026-05-20,78.17,78.6,77.35,78.15,9665664
2026-05-21,77.49,78.17,76.98,78.15,9226489
2026-05-22,78.4,79.25,78.2069,78.6,7051744
2026-05-26,78.55,78.55,77.47,77.6,6704214
2026-05-27,77.68,78.22,75.84,75.98,10474880
2026-05-28,75.55,76.26,75.295,75.57,13098870
2026-05-29,75.85,75.85,73.67,73.81,22243500
2026-06-01,74.0,75.03,73.765,73.98,14209850
2026-06-02,73.81,74.48,73.31,73.75,14441700
2026-06-03,77.12,78.36,76.27,77.95,20289730
2026-06-04,80.0,82.83,79.87,81.93,19849640
2026-06-05,82.1,82.68,81.11,81.67,15286760
2026-06-08,80.99,81.06,79.96,80.69,10254470
2026-06-09,80.76,82.34,80.6,81.98,9825490
2026-06-10,82.21,82.25,80.16,80.25,7004383
2026-06-11,80.09,80.9175,79.8,80.33,8411606
2026-06-12,80.58,80.74,79.26,80.2,7692356
2026-06-15,80.25,80.785,79.98,80.38,6492246
2026-06-16,81.3,81.625,80.6,81.32,8459428
2026-06-17,81.0,81.75,77.62,78.14,11874710
2026-06-18,78.59,79.51,78.45,79.34,22656860
2026-06-22,79.165,79.87,78.3,79.27,10018920
2026-06-23,79.75,80.75,79.58,80.63,8482604
2026-06-24,80.12,82.09,80.07,80.13,8817761
2026-06-25,80.17,82.48,80.17,80.52,9055164
2026-06-26,79.84,81.87,79.71,80.98,12401090
2026-06-29,81.15,81.78,80.56,80.93,8597344
2026-06-30,81.11,81.2,78.14,78.23,9876723
2026-07-01,78.6,80.28,78.6,79.2,7640513
2026-07-02,80.0,83.31,79.9,83.19,9723080
2026-07-06,83.25,83.765,81.41,83.06,10711170
2026-07-07,84.57,85.99,83.73,83.83,9080715
2026-07-08,83.15,83.495,81.87,82.01,5746777
2026-07-09,81.69,83.0,81.1,82.39,5532717
2026-07-10,82.83,84.19,82.56,83.87,7191947
2026-07-13,84.0,84.685,83.53,83.57,4885229
2026-07-14,81.59,82.0,78.97,79.3,8499354
2026-07-15,79.605,81.88,79.4619,80.47,8785630
2026-07-16,81.45,84.788,81.19,83.56,9698350
2026-07-17,83.52,84.69,82.71,83.2,9207621
