date,open,high,low,close,volume
2025-09-02,343.13,344.6,339.89,343.75,2464064
2025-09-03,345.78,346.065,339.66,342.99,1521312
2025-09-04,344.22,348.27,341.61,348.22,1859362
2025-09-05,350.47,351.28,342.27,349.03,2120796
2025-09-08,350.0,352.58,347.765,349.49,1631966
2025-09-09,349.94,350.27,343.64,348.23,1763305
2025-09-10,359.59,365.43,357.0,362.25,3483952
2025-09-11,363.68,365.3071,359.38,360.08,2253528
2025-09-12,359.93,367.68,358.78,365.9,3108477
2025-09-15,370.02,378.16,369.19,375.54,3031539
2025-09-16,378.0,378.98,369.65,371.19,2251110
2025-09-17,370.59,371.455,359.28,363.35,3481432
2025-09-18,366.98,374.06,364.45,371.27,1857903
2025-09-19,373.6,375.36,369.98,374.5,3483273
2025-09-22,374.08,382.92,371.92,378.31,2399700
2025-09-23,381.76,382.0,366.06,368.52,2776645
2025-09-24,369.82,373.62,368.215,372.21,2290761
2025-09-25,366.86,368.16,360.34,364.74,2029278
2025-09-26,365.01,366.51,360.265,365.58,1625419
2025-09-29,370.01,370.98,367.02,367.15,1466252
2025-09-30,366.45,374.99,366.45,374.25,1805959
2025-10-01,369.66,378.03,369.09,373.84,1590582
2025-10-02,376.07,381.58,370.8,376.76,1778006
2025-10-03,377.8,378.04,371.61,373.46,1372536
2025-10-06,380.0,385.6724,377.56,380.02,1852186
2025-10-07,382.0,384.86,367.49,370.94,2321869
2025-10-08,372.63,378.94,370.22,376.7,2168576
2025-10-09,381.575,381.87,373.29,377.19,1723584
2025-10-10,379.36,387.62,369.08,369.08,2164700
2025-10-13,374.73,379.19,372.8328,375.37,2090196
2025-10-14,368.73,379.15,364.36,374.35,1669488
2025-10-15,379.74,385.96,375.4,381.72,1589473
2025-10-16,385.89,386.67,372.1515,375.59,1597471
2025-10-17,373.4,379.01,370.2601,373.3,1733043
2025-10-20,375.62,379.0189,374.6,377.69,1331657
2025-10-21,377.64,378.46,371.435,373.46,2335107
2025-10-22,378.09,379.58,353.555,360.6,4029365
2025-10-23,361.36,373.82,361.36,372.4,1601613
2025-10-24,379.14,381.31,376.115,376.29,1650410
2025-10-27,381.0,381.0,376.53,379.74,1772600
2025-10-28,379.86,381.06,373.43,376.01,1551358
2025-10-29,376.88,390.0,376.282,387.75,2245001
2025-10-30,384.49,390.11,379.26,383.09,3112798
2025-10-31,386.02,393.59,379.22,381.56,2407267
2025-11-03,385.11,387.39,378.25,386.57,3254494
2025-11-04,360.63,382.63,352.1,377.72,7551357
2025-11-05,377.61,394.14,376.66,385.44,3075959
2025-11-06,384.07,386.61,373.85,377.4,2235866
2025-11-07,371.05,376.07,364.2,373.77,2604836
2025-11-10,380.92,382.56,372.4,379.57,1801833
2025-11-11,377.23,380.0,366.75,367.91,3103733
2025-11-12,368.01,372.0,366.37,369.4,1962092
2025-11-13,367.09,368.48,352.37,354.07,2762392
2025-11-14,350.0,361.0,347.0,352.39,3385162
2025-11-17,351.96,353.49,339.84,342.75,3019730
2025-11-18,340.325,343.0,335.1,338.29,3158325
2025-11-19,339.97,346.22,338.68,345.65,2650766
2025-11-20,356.38,357.78,326.95,328.19,4550624
2025-11-21,329.04,332.22,320.2039,331.71,4397591
2025-11-24,334.73,335.6399,329.27,330.43,3672784
2025-11-25,329.99,339.07,324.71,336.65,3968824
2025-11-26,338.55,344.6,337.18,341.69,2474729
2025-11-28,344.4,347.89,341.64,345.89,935120
2025-12-01,342.65,343.89,338.4,339.71,2248798
2025-12-02,343.5,343.78,332.88,333.11,3850288
2025-12-03,330.5,336.1999,323.57,335.57,3079383
2025-12-04,335.48,340.9,332.5,338.93,2351829
2025-12-05,338.89,341.42,336.0,337.66,1845606
2025-12-08,337.45,345.69,336.13,343.39,3734210
2025-12-09,344.09,348.64,341.55,341.76,2149666
2025-12-10,343.87,354.37,342.21,353.45,2554134
2025-12-11,350.51,351.14,341.56,350.36,2405623
2025-12-12,349.17,349.98,329.4,331.98,3921907
2025-12-15,334.5,336.04,331.72,333.21,2568954
2025-12-16,333.215,334.305,326.71,329.93,2527409
2025-12-17,329.25,331.12,311.915,315.82,7694386
2025-12-18,322.04,323.08,314.0,315.95,3826602
2025-12-19,315.68,320.71,315.45,317.8,7357343
2025-12-22,322.61,322.77,318.27,320.39,2080366
2025-12-23,319.66,324.205,319.195,322.81,2197116
2025-12-24,323.415,324.07,321.15,323.67,766455
2025-12-26,323.28,323.53,321.32,322.17,1100854
2025-12-29,322.34,325.43,320.67,321.45,1948928
2025-12-30,321.48,322.2751,320.05,320.86,1727311
2025-12-31,322.0,322.0,318.13,318.51,1553864
2026-01-02,323.21,328.21,321.22,327.31,2559976
2026-01-05,324.41,330.9372,321.93,322.26,3381725
2026-01-06,322.33,333.07,315.76,332.97,3246617
2026-01-07,333.0,333.27,320.57,322.67,3166098
2026-01-08,320.11,320.86,315.775,320.58,4582274
2026-01-09,322.15,325.22,320.79,324.51,2690172
2026-01-12,323.09,330.17,323.09,329.1,2166800
2026-01-13,329.87,334.0,329.76,332.38,2524530
2026-01-14,331.07,334.4682,328.225,331.14,2147956
2026-01-15,336.52,341.1381,332.54,333.46,2127499
2026-01-16,343.45,349.6,340.57,343.75,3768483
2026-01-20,337.78,344.7,336.504,337.59,2869755
2026-01-21,340.01,342.59,334.44,337.96,3426505
2026-01-22,342.12,343.0,331.61,334.04,2549038
2026-01-23,335.62,336.77,330.68,331.22,2235595
2026-01-26,331.22,333.63,327.5,332.28,2812922
2026-01-27,332.7,341.96,329.23,341.19,2814670
2026-01-28,341.04,349.23,340.0,347.32,3072496
2026-01-29,355.18,360.63,350.361,354.37,4065394
2026-01-30,350.86,355.4099,347.03,351.42,4261138
2026-02-02,351.175,361.33,350.35,359.44,3867541
2026-02-03,349.51,375.89,344.64,362.53,5853542
2026-02-04,365.6,377.12,355.0,365.0,5131605
2026-02-05,360.78,362.21,353.35,354.67,3303291
2026-02-06,359.31,374.9,357.685,373.82,3106014
2026-02-09,373.0,380.52,370.76,377.06,2809374
2026-02-10,378.95,382.2,375.525,377.47,1795277
2026-02-11,394.0,401.0,390.5982,396.09,3826592
2026-02-12,400.0,408.45,388.51,390.33,4603626
2026-02-13,392.21,394.5,385.25,389.25,2253519
2026-02-17,386.78,393.23,384.359,391.49,2094528
2026-02-18,393.89,397.0,379.02,380.38,2740006
2026-02-19,379.0,382.9,375.74,377.32,2277373
2026-02-20,375.17,378.4999,370.02,373.38,2600502
2026-02-23,367.12,368.58,359.84,362.05,2920762
2026-02-24,364.0,377.7499,363.17,374.56,2387584
2026-02-25,374.18,377.06,368.85,373.53,2300076
2026-02-26,373.15,374.72,360.26,374.59,2231491
2026-02-27,366.78,376.4599,365.3,375.92,2169223
2026-03-02,369.84,378.07,367.62,377.4,1828407
2026-03-03,362.81,365.83,350.75,355.56,2864213
2026-03-04,357.92,360.99,351.309,354.46,1792987
2026-03-05,351.28,356.295,345.77,354.79,3220457
2026-03-06,346.3,353.85,340.655,347.75,3795051
2026-03-09,343.32,355.56,338.25,353.87,3409145
