date,open,high,low,close,volume
2025-09-02,158.42,162.3916,156.62,162.32,38656130
2025-09-03,161.81,164.75,160.58,162.13,30752790
2025-09-04,159.935,162.05,157.79,161.79,32103500
2025-09-05,157.12,157.14,150.18,151.14,78255950
2025-09-08,151.8,152.6388,149.22,151.41,41849000
2025-09-09,151.99,156.66,151.93,155.82,42802470
2025-09-10,163.54,164.525,158.0,159.54,52465270
2025-09-11,158.62,160.21,154.99,155.67,48817720
2025-09-12,157.0,160.41,154.92,158.57,42232780
2025-09-15,160.01,162.3,157.6012,161.16,36808730
2025-09-16,161.37,161.95,159.22,160.46,27946480
2025-09-17,159.28,161.63,155.76,159.16,41823840
2025-09-18,150.96,158.7699,149.85,157.92,84549470
2025-09-19,157.38,159.84,155.9,157.39,55448080
2025-09-22,157.42,162.68,157.42,159.79,46505480
2025-09-23,160.52,163.39,159.21,160.9,39448320
2025-09-24,162.98,165.1,158.43,160.88,38464120
2025-09-25,157.135,161.63,154.7798,161.27,36809880
2025-09-26,160.52,162.11,157.05,159.46,30316930
2025-09-29,160.12,164.3,159.9,161.36,39828790
2025-09-30,160.795,162.28,159.33,161.79,29669330
2025-10-01,160.93,164.18,160.49,164.01,39895180
2025-10-02,168.675,171.06,166.12,169.73,55475230
2025-10-03,170.68,170.68,163.14,164.67,42699150
2025-10-06,226.445,226.709,203.01,203.71,248859600
2025-10-07,214.85,218.9,209.28,211.51,115748100
2025-10-08,212.95,235.87,210.695,235.56,159983500
2025-10-09,236.3,240.1,229.53,232.89,94290740
2025-10-10,232.77,234.22,213.2001,214.9,118656600
2025-10-13,220.2,224.1899,214.9,216.42,63104020
2025-10-14,219.2,224.98,215.9,218.09,71216270
2025-10-15,222.705,239.24,220.7601,238.6,108481000
2025-10-16,236.285,241.2,232.24,234.56,69726440
2025-10-17,233.26,235.38,227.91,233.08,55804200
2025-10-20,236.465,242.88,234.4,240.56,56741700
2025-10-21,239.39,242.26,234.02,238.03,47122390
2025-10-22,236.85,240.1324,224.88,230.23,59668780
2025-10-23,230.16,235.9,228.54,234.99,39024430
2025-10-24,243.36,253.39,241.95,252.92,71221140
2025-10-27,257.88,260.42,249.8001,259.67,65613110
2025-10-28,259.14,264.58,257.0,258.01,47448670
2025-10-29,264.19,267.0799,257.4044,264.33,49335590
2025-10-30,259.92,263.88,252.31,254.84,45162490
2025-10-31,259.6,262.13,253.4064,256.12,34449210
2025-11-03,259.33,260.91,253.89,259.65,36351420
2025-11-04,250.35,257.38,247.39,250.05,56491830
2025-11-05,243.24,259.65,242.805,256.33,67366570
2025-11-06,253.465,253.51,235.74,237.7,66049700
2025-11-07,230.94,235.87,224.6401,233.54,52162580
2025-11-10,242.135,248.9,240.5,243.98,43361640
2025-11-11,241.655,248.46,234.64,237.52,61336770
2025-11-12,253.13,263.51,250.0,258.89,108942000
2025-11-13,251.9,259.6309,246.06,247.96,63178590
2025-11-14,240.11,253.44,235.08,246.81,47655640
2025-11-17,242.745,248.77,237.15,240.52,37942210
2025-11-18,236.78,238.0,224.71,230.29,45619850
2025-11-19,230.26,235.2799,219.7101,223.55,52093450
2025-11-20,232.7,234.25,204.53,206.02,66342870
2025-11-21,208.805,208.83,195.0,203.78,67421150
2025-11-24,207.16,217.13,205.85,215.05,46749560
2025-11-25,201.475,206.58,194.275,206.13,69773500
2025-11-26,210.05,215.5899,207.0,214.24,43270240
2025-11-28,216.135,218.3,214.02,217.53,18657990
2025-12-01,213.875,220.98,213.5,219.76,30768720
2025-12-02,221.79,225.98,214.39,215.24,42002460
2025-12-03,216.26,218.2,211.7686,217.6,28545180
2025-12-04,216.875,219.12,214.14,215.98,24478200
2025-12-05,217.165,223.642,216.24,217.97,33292400
2025-12-08,219.085,223.71,218.36,221.11,30943180
2025-12-09,221.04,224.84,217.907,221.62,25166130
2025-12-10,222.0,222.605,218.67,221.42,23279370
2025-12-11,217.81,221.4989,210.1901,221.43,30694650
2025-12-12,218.37,222.49,209.06,210.78,37073910
2025-12-15,212.28,215.36,206.58,207.58,27222200
2025-12-16,206.92,210.22,205.11,209.17,23467570
2025-12-17,210.035,211.5,197.53,198.11,31595410
2025-12-18,203.815,206.36,200.5001,201.06,29720140
2025-12-19,204.6,215.18,204.2001,213.43,58445450
2025-12-22,220.0,220.17,213.31,214.95,24950730
2025-12-23,212.855,217.03,212.28,214.9,20272290
2025-12-24,214.98,216.54,213.97,215.04,7956797
2025-12-26,215.43,216.83,213.03,214.99,15792560
2025-12-29,211.575,216.047,209.24,215.61,20326860
2025-12-30,215.865,216.82,214.33,215.34,16409570
2025-12-31,215.815,217.64,213.8,214.16,17591580
2026-01-02,218.9,227.15,218.895,223.47,36446170
2026-01-05,230.245,234.02,220.48,221.08,31941150
2026-01-06,222.71,222.92,211.25,214.35,40033210
2026-01-07,212.125,212.125,207.17,210.02,29715480
2026-01-08,210.9,210.94,203.33,204.68,27505030
2026-01-09,205.72,207.3,203.07,203.17,24217340
2026-01-12,201.18,209.88,199.8,207.69,27287270
2026-01-13,215.1,223.11,214.975,220.97,56894940
2026-01-14,217.54,224.09,215.11,223.6,40466520
2026-01-15,227.9,238.35,227.22,227.92,55270210
2026-01-16,234.3,234.49,228.86,231.83,42545610
2026-01-20,226.08,239.5,225.4105,231.92,44327710
2026-01-21,235.99,252.9,235.78,249.8,62385580
2026-01-22,251.745,256.08,246.632,253.73,37945010
2026-01-23,261.18,266.96,256.25,259.68,47525930
2026-01-26,256.745,258.2899,250.3,251.31,30672460
2026-01-27,252.16,255.55,247.96,252.03,25691600
2026-01-28,254.125,257.4,250.21,252.74,27061190
2026-01-29,254.655,260.5298,240.91,252.18,31685170
2026-01-30,236.93,245.24,234.55,236.73,40035670
2026-02-02,235.77,249.97,235.0,246.27,36308110
2026-02-03,251.55,252.65,237.0376,242.11,53097050
2026-02-04,215.0,218.58,199.1501,200.19,107173300
2026-02-05,201.855,204.04,190.72,192.5,62196420
2026-02-06,197.13,209.27,196.43,208.44,54504470
2026-02-09,206.895,217.6,204.15,216.0,38810840
2026-02-10,215.14,219.39,213.13,213.57,25326690
2026-02-11,217.88,219.65,209.21,213.58,33384740
2026-02-12,215.83,218.4564,205.14,205.94,32180960
2026-02-13,204.02,210.05,203.8801,207.32,26123880
2026-02-17,202.145,205.3,194.83,203.08,33712080
2026-02-18,198.405,203.2,195.0001,200.12,35664090
2026-02-19,200.11,204.1,198.2939,203.37,25842270
2026-02-20,200.115,204.87,198.56,200.15,36317260
2026-02-23,198.09,199.38,194.15,196.6,28187910
2026-02-24,211.63,216.71,206.5,213.84,81367020
2026-02-25,214.82,216.7,210.33,210.86,44588060
2026-02-26,208.8,209.79,201.46,203.68,35020470
2026-02-27,200.105,201.89,197.74,200.21,31312400
2026-03-02,193.845,198.74,190.0,198.62,34120160
2026-03-03,191.46,193.64,188.22,190.95,37785700
2026-03-04,192.12,202.44,189.86,202.07,40912560
2026-03-05,197.77,203.79,194.88,199.45,36000660
2026-03-06,195.27,200.24,191.2501,192.43,33913780
2026-03-09,189.36,202.97,189.02,202.68,38877220
2026-03-10,202.51,206.59,202.2,203.23,29139160
2026-03-11,205.11,209.21,203.63,204.83,23076370
2026-03-12,202.825,203.62,196.67,197.74,28886910
2026-03-13,198.11,199.68,192.27,193.39,27561890
2026-03-16,194.975,200.17,194.8,196.58,30285170
2026-03-17,196.68,199.21,195.26,196.31,22779680
2026-03-18,196.0,202.86,195.75,199.46,28569140
2026-03-19,195.032,205.88,192.83,205.27,32245330
2026-03-20,204.885,206.3,198.26,201.33,37265100
2026-03-23,206.395,209.109,201.71,202.68,31857750
2026-03-24,201.39,206.43,200.13,205.37,27258850
2026-03-25,211.505,221.33,211.505,220.27,48518270
2026-03-26,217.979,221.0,203.43,203.77,49212980
2026-03-27,201.77,203.2699,197.69,201.99,29206580
2026-03-30,204.95,208.43,192.865,196.04,41053300
2026-03-31,198.05,204.0,196.41,203.43,42318750
2026-04-01,207.585,213.83,205.84,210.21,40835790
2026-04-02,204.05,217.78,200.62,217.5,38463480
2026-04-06,219.28,226.31,217.73,220.18,30786420
2026-04-07,218.255,222.0984,215.375,221.53,26483010
2026-04-08,232.12,234.0,227.09,231.82,35496360
2026-04-09,233.014,237.1,230.9101,236.64,27126210
2026-04-10,239.0,249.58,238.96,245.04,36477240
2026-04-13,245.025,247.33,242.03,246.83,22781790
2026-04-14,249.79,255.46,245.7,255.07,25733230
2026-04-15,254.96,258.18,251.85,258.12,24695180
2026-04-16,264.99,279.34,261.51,278.26,64850770
2026-04-17,281.0,281.05,274.14,278.39,35519850
2026-04-20,280.6,287.61,272.0,274.95,34833860
2026-04-21,277.33,286.2,276.62,284.49,38950880
2026-04-22,291.215,304.25,286.14,303.46,49054240
2026-04-23,302.01,310.22,299.76,305.33,45619730
2026-04-24,336.755,352.99,334.54,347.81,81616660
2026-04-27,346.32,349.21,328.81,334.63,50585310
2026-04-28,311.86,327.5,310.0,323.21,43002480
2026-04-29,326.58,340.17,318.86,337.11,44704370
2026-04-30,341.355,354.96,332.6,354.49,42115330
2026-05-01,351.87,362.79,349.25,360.54,34279170
2026-05-04,360.31,361.85,338.7,341.54,42000240
2026-05-05,351.51,359.5716,344.88,355.26,64235120
2026-05-06,409.49,430.6,402.04,421.39,87732170
2026-05-07,417.07,421.71,401.08,408.46,44885480
2026-05-08,418.59,456.29,418.29,455.19,58134870
2026-05-11,460.55,469.215,450.88,458.79,46085390
2026-05-12,449.25,458.8,426.11,448.29,39140060
2026-05-13,457.035,459.5,432.65,445.5,30423350
2026-05-14,440.6,453.31,435.68,449.7,26113570
2026-05-15,433.34,439.0,423.3616,424.1,29131580
2026-05-18,429.5,438.8,410.71,420.99,28432130
2026-05-19,412.6,428.75,393.36,414.05,38756910
2026-05-20,428.04,449.3899,426.05,447.58,36137500
2026-05-21,441.99,451.2,431.6,449.59,27251980
2026-05-22,469.84,481.41,461.71,467.51,34758600
2026-05-26,484.74,506.96,480.23,503.89,38473780
2026-05-27,508.0,510.21,486.6603,495.54,27589330
2026-05-28,499.0,527.1999,493.52,518.09,31438520
