date,open,high,low,close,volume
2025-09-02,300.49,307.455,296.9901,307.19,2426932
2025-09-03,306.52,309.59,303.92,308.48,1374657
2025-09-04,310.0,312.16,307.25,309.06,1758005
2025-09-05,311.05,312.99,293.155,301.58,2821202
2025-09-08,304.21,304.79,296.36,298.82,2333716
2025-09-09,300.61,305.3,296.35,300.82,2081588
2025-09-10,308.5,328.3013,308.5,320.0,4040714
2025-09-11,320.01,322.2612,316.11,318.0,2263819
2025-09-12,318.06,325.41,315.2806,323.48,1415234
2025-09-15,325.75,334.86,324.61,330.42,2049347
2025-09-16,332.04,332.86,321.5075,322.91,2373960
2025-09-17,322.53,326.2,316.1838,321.275,2171849
2025-09-18,325.18,330.13,319.59,322.71,1732361
2025-09-19,325.71,331.86,319.76,330.9,3416445
2025-09-22,332.97,347.33,326.5,347.12,2879884
2025-09-23,346.75,348.44,336.14,336.65,2522736
2025-09-24,339.6889,344.4,335.5001,339.13,1735230
2025-09-25,335.0,336.56,325.06,326.33,2447813
2025-09-26,328.72,332.8399,326.44,331.26,1263516
2025-09-29,334.9,340.545,322.56,334.265,2286735
2025-09-30,334.92,336.78,327.21,329.07,2159639
2025-10-01,326.05,352.25,323.8801,350.9,2818449
2025-10-02,352.25,357.68,343.21,357.46,2161782
2025-10-03,358.87,376.78,358.69,360.0,3355176
2025-10-06,367.63,368.5,353.0,364.1,2159899
2025-10-07,363.13,371.31,355.38,358.16,2167683
2025-10-08,368.81,376.4988,363.71,371.0,3342846
2025-10-09,374.23,386.86,372.75,383.23,2888770
2025-10-10,381.0,392.18,367.38,368.49,3084565
2025-10-13,376.32,387.0,375.25,380.91,3270521
2025-10-14,374.7,395.14,366.1595,389.56,3110937
2025-10-15,396.975,412.7,395.7001,403.95,3537707
2025-10-16,406.9,411.69,394.72,396.53,3062349
2025-10-17,391.3,402.01,382.83,386.5,2882895
2025-10-20,395.94,398.5,368.1301,370.0,3072907
2025-10-21,369.365,369.5483,355.2,358.79,2753661
2025-10-22,361.0,362.9396,343.47,350.06,3571753
2025-10-23,354.0,367.535,353.79,365.8,2317537
2025-10-24,376.43,391.1159,373.6,389.19,2999903
2025-10-27,392.75,395.6331,384.15,391.15,2642284
2025-10-28,397.03,401.0,375.5,384.95,2865617
2025-10-29,382.08,406.0425,380.55,401.43,2615883
2025-10-30,397.15,400.98,381.99,382.48,2218183
2025-10-31,388.0,388.47,372.147,377.0,2383796
2025-11-03,380.92,384.981,375.16,377.71,2506681
2025-11-04,368.79,374.44,360.48,362.82,3192198
2025-11-05,364.93,370.98,357.06,363.25,3228316
2025-11-06,360.96,363.88,348.55,351.3,3909775
2025-11-07,335.48,359.1,332.12,358.39,5775306
2025-11-10,367.2,378.78,352.67,360.93,2436265
2025-11-11,359.62,363.56,348.43,351.67,1830051
2025-11-12,354.63,354.99,346.2,354.02,1994308
2025-11-13,350.23,350.99,333.655,335.74,3604266
2025-11-14,328.65,351.98,326.83,338.52,2732825
2025-11-17,336.685,347.99,334.08,338.67,2129469
2025-11-18,333.75,344.55,333.75,339.35,3209878
2025-11-19,344.275,362.715,342.93,357.48,3337706
2025-11-20,368.25,379.2,345.0,345.78,4414981
2025-11-21,345.28,345.28,330.86,338.11,2948337
2025-11-24,339.75,355.5,336.77,354.105,2388326
2025-11-25,353.46,355.54,339.34,351.595,1635778
2025-11-26,355.39,361.14,355.0,359.09,1396219
2025-11-28,362.0,366.3084,359.6,364.36,1072967
2025-12-01,359.33,361.29,354.0,359.05,2012469
2025-12-02,362.535,368.71,358.945,363.67,1973995
2025-12-03,361.19,365.4699,355.2101,361.26,1559515
2025-12-04,360.98,374.45,358.5,368.62,2029840
2025-12-05,369.165,370.07,357.12,359.82,2018171
2025-12-08,362.765,364.25,354.0,357.67,1637866
2025-12-09,356.2,364.66,354.01,359.15,1360279
2025-12-10,358.55,363.5181,346.4,362.07,2382191
2025-12-11,360.75,380.0,354.34,378.6,2530253
2025-12-12,379.0,380.78,351.22,351.98,3778565
2025-12-15,356.65,360.96,350.67,357.14,2628771
2025-12-16,356.06,368.18,350.33,365.625,2496791
2025-12-17,368.515,372.0,334.18,340.97,4597994
2025-12-18,351.99,371.24,348.78,361.05,3773191
2025-12-19,361.2,368.64,354.1901,355.4,5429540
2025-12-22,363.275,363.95,355.4,357.81,1390333
2025-12-23,353.14,364.31,353.0,361.33,1404308
2025-12-24,360.62,364.56,359.0,363.95,628357
2025-12-26,363.24,363.345,358.4,360.46,758517
2025-12-29,360.0,369.0,358.025,358.33,1575572
2025-12-30,358.0,360.68,355.31,357.12,1198656
2025-12-31,357.72,360.42,352.96,353.27,1234578
2026-01-02,358.0,373.23,358.0,366.25,2330482
2026-01-05,372.33,378.5,349.54,354.94,3097288
2026-01-06,358.45,359.8,346.74,354.58,2448367
2026-01-07,352.11,352.435,334.79,338.63,2812116
2026-01-08,337.0,338.63,321.61,322.54,4114342
2026-01-09,339.495,343.88,333.67,342.52,5908029
2026-01-12,334.67,339.99,333.0,335.86,2485172
2026-01-13,335.86,343.65,332.58,333.53,2754407
2026-01-14,330.0,336.59,325.8,330.38,2448383
2026-01-15,335.95,346.81,335.0401,341.2,3053987
2026-01-16,322.45,323.05,300.41,307.71,9206946
2026-01-20,301.48,308.75,292.455,295.4,6079637
2026-01-21,297.862,300.155,290.9434,294.37,5711809
2026-01-22,300.49,302.73,286.9,287.35,4771562
2026-01-23,287.44,292.25,285.44,289.06,3785163
2026-01-26,286.55,291.8,284.41,285.27,3344128
2026-01-27,286.02,290.4,282.5,288.76,5963885
2026-01-28,291.35,293.23,285.17,287.95,3279684
2026-01-29,288.205,292.67,283.11,287.45,3141900
2026-01-30,283.76,288.34,278.23,280.68,2756334
2026-02-02,279.19,282.98,268.9,270.88,4044473
2026-02-03,272.46,273.4,263.71,268.45,3584237
2026-02-04,268.95,268.95,245.02,250.46,7171952
2026-02-05,248.15,254.0,243.3,247.06,4001634
2026-02-06,254.145,263.96,252.38,261.42,6306535
2026-02-09,263.125,272.92,260.69,272.15,4182026
2026-02-10,275.815,276.4728,267.0,271.14,4603818
2026-02-11,272.605,277.57,268.255,276.85,3862099
2026-02-12,278.44,285.37,270.355,276.12,4893443
2026-02-13,275.99,294.36,272.0,288.43,5450262
2026-02-17,289.49,307.53,288.0,303.01,5259188
2026-02-18,305.71,310.655,290.6881,294.05,3794427
2026-02-19,292.48,298.2299,289.0,291.66,2550047
2026-02-20,291.93,297.23,289.88,294.84,3133990
2026-02-23,294.0,299.75,289.09,293.8,3223186
2026-02-24,297.405,313.115,290.81,312.64,4652063
2026-02-25,312.64,327.64,312.52,325.84,4999711
2026-02-26,324.51,324.9194,308.71,323.56,3960940
2026-02-27,320.0,330.145,318.6,329.88,3439504
2026-03-02,321.94,333.8,320.724,327.16,3539354
2026-03-03,313.0,328.4,309.13,324.87,4260329
2026-03-04,323.76,326.59,318.0,322.85,2342496
2026-03-05,317.59,332.42,317.59,332.07,3135152
2026-03-06,327.05,331.5,317.5,319.06,3432375
2026-03-09,312.26,323.95,309.03,322.99,2736854
2026-03-10,322.71,326.0599,316.69,317.09,2316631
2026-03-11,316.78,316.93,298.25,300.69,4343185
2026-03-12,297.0,309.28,295.0,301.55,2750526
2026-03-13,303.32,308.8,298.875,301.77,1988620
2026-03-16,305.87,307.5,301.42,305.58,2208279
2026-03-17,307.98,311.01,305.5538,307.69,2007768
2026-03-18,308.99,322.65,307.55,317.22,2634656
