date,open,high,low,close,volume
2025-09-02,119.7,121.54,118.28,121.411,23032690
2025-09-03,120.514,122.7,120.338,122.618,24714950
2025-09-04,122.32,125.748,122.309,125.748,30235060
2025-09-05,126.0,126.71,123.902,124.382,23796730
2025-09-08,124.854,125.2041,123.2,124.476,19150530
2025-09-09,124.667,126.5721,124.667,126.325,22196550
2025-09-10,126.3975,126.7,124.6355,124.771,27010150
2025-09-11,125.1,125.3445,119.2,120.35,56822860
2025-09-12,120.3055,121.178,118.24,118.844,37849440
2025-09-15,118.84,120.724,117.3208,120.226,29092770
2025-09-16,120.564,120.9,119.728,120.051,24046860
2025-09-17,122.102,123.393,120.6605,122.85,34597960
2025-09-18,122.082,123.3,120.55,120.778,31691050
2025-09-19,121.862,122.995,120.81,122.697,49475900
2025-09-22,122.19,122.976,121.4243,122.737,25468140
2025-09-23,122.733,122.779,120.847,121.847,24991460
2025-09-24,121.861,122.15,119.42,120.395,27731270
2025-09-25,120.309,121.684,119.151,120.824,19977830
2025-09-26,120.542,121.4,120.0,121.061,19449570
2025-09-29,120.5,122.449,118.754,120.641,30331740
2025-09-30,120.641,120.85,117.8,119.892,38303040
2025-10-01,117.549,117.914,116.321,117.09,41102210
2025-10-02,116.15,116.333,113.4,116.253,46854670
2025-10-03,116.5,116.8,114.322,115.332,31373650
2025-10-06,116.037,116.358,114.545,116.331,29685960
2025-10-07,117.779,120.1365,117.746,119.106,33090940
2025-10-08,119.711,121.739,119.2,121.425,28513530
2025-10-09,121.425,123.75,121.182,123.107,28240770
2025-10-10,122.9,124.7,121.91,122.008,42797760
2025-10-13,122.135,123.112,120.681,121.903,24607830
2025-10-14,121.475,122.429,120.31,121.535,23624460
2025-10-15,121.301,121.962,120.161,120.329,20251940
2025-10-16,121.215,121.671,117.6,118.359,28326190
2025-10-17,118.36,120.312,117.895,119.936,29571010
2025-10-20,120.7875,124.776,120.69,123.856,39862350
2025-10-21,124.283,124.86,123.176,124.135,65082340
2025-10-22,114.29,115.76,111.251,111.637,147890300
2025-10-23,112.69,112.7829,109.973,111.359,68497220
2025-10-24,111.1,111.451,109.441,109.469,60280250
2025-10-27,110.067,110.228,108.73,109.456,46911140
2025-10-28,109.4,111.698,109.3008,110.25,40209010
2025-10-29,109.984,110.855,109.6,110.041,33994870
2025-10-30,109.44,110.616,108.811,108.9,41580990
2025-10-31,110.539,113.488,110.198,111.886,68665000
2025-11-03,113.324,113.35,107.515,110.009,58634390
2025-11-04,109.999,110.46,108.668,109.296,38717800
2025-11-05,108.5,110.085,107.337,109.846,35539170
2025-11-06,109.458,110.37,108.513,109.702,36531700
2025-11-07,109.4175,110.822,108.75,110.366,44125340
2025-11-10,110.6715,112.82,110.405,112.007,36929000
2025-11-11,111.76,113.922,111.28,113.644,27965940
2025-11-12,113.817,116.434,112.826,115.75,39220570
2025-11-13,115.85,116.733,114.569,115.423,40143590
2025-11-14,114.273,114.273,110.721,111.217,47607130
2025-11-17,110.75,111.85,109.55,110.29,26082730
2025-11-18,110.29,115.25,109.2,114.09,43440570
2025-11-19,113.0,113.34,108.61,110.0,31868090
2025-11-20,111.0,111.1,105.39,105.67,36918550
2025-11-21,105.13,106.53,103.81,104.31,41232690
2025-11-24,104.25,108.04,103.32,106.97,62918290
2025-11-25,106.12,106.3,103.82,104.4,35122560
2025-11-26,105.74,106.95,105.22,106.14,27951010
2025-11-28,106.435,107.94,106.24,107.58,15021610
2025-12-01,106.51,109.335,106.31,109.13,24873390
2025-12-02,109.205,109.73,107.52,109.35,25762980
2025-12-03,106.59,106.87,102.03,103.96,53593400
2025-12-04,103.57,103.8,101.77,103.22,51779140
2025-12-05,98.775,104.79,97.74,100.24,133363600
2025-12-08,99.87,99.89,95.3,96.79,100906300
2025-12-09,97.03,97.24,95.45,96.71,51745580
2025-12-10,96.735,96.97,92.35,92.71,74129270
2025-12-11,93.895,94.82,92.76,94.09,43949010
2025-12-12,95.5,96.92,94.65,95.19,49323120
2025-12-15,96.015,96.37,93.53,93.77,40016460
2025-12-16,93.88,94.93,93.32,94.57,34264990
2025-12-17,95.98,97.33,94.46,94.79,50472780
2025-12-18,95.02,95.81,93.59,94.0,37244730
2025-12-19,93.57,95.54,93.45,94.39,78990150
2025-12-22,94.71,94.71,92.91,93.23,39484770
2025-12-23,93.395,93.81,91.33,93.5,25896230
2025-12-24,93.11,93.68,92.665,93.64,12427900
2025-12-26,93.48,94.685,93.27,94.47,22068280
2025-12-29,93.99,94.97,93.625,94.15,24493740
2025-12-30,93.52,93.9899,93.34,93.78,23422030
2025-12-31,93.6,94.305,93.2,93.76,23495190
2026-01-02,94.13,94.13,90.8104,90.99,41155400
2026-01-05,90.92,92.63,90.84,91.46,39183320
2026-01-06,91.54,91.64,89.74,90.65,43330970
2026-01-07,91.555,92.419,90.06,90.73,36525740
2026-01-08,90.45,91.25,89.58,90.53,40068670
2026-01-09,90.03,90.05,88.32,89.46,55579520
2026-01-12,89.69,90.335,89.33,89.41,36290610
2026-01-13,89.44,91.15,89.07,90.32,45221100
2026-01-14,91.24,91.58,87.95,88.55,49737700
2026-01-15,89.02,89.89,87.82,88.05,36945060
2026-01-16,88.335,88.51,87.78,88.0,48130500
2026-01-20,88.97,89.9,87.02,87.26,109729700
2026-01-21,82.515,86.0,81.93,85.36,127940700
2026-01-22,85.02,85.1,82.98,83.54,69113300
2026-01-23,83.43,86.3,83.28,86.12,64520380
2026-01-26,86.92,86.94,85.35,85.7,40941880
2026-01-27,85.275,85.6,83.88,85.58,37790830
2026-01-28,85.625,86.47,84.295,84.64,37762610
2026-01-29,84.31,84.38,82.3501,83.16,42278100
2026-01-30,83.1,84.055,82.78,83.49,45755030
2026-02-02,83.53,85.27,82.72,82.76,41445250
2026-02-03,82.23,82.45,79.62,79.94,49789040
2026-02-04,79.99,81.435,79.225,80.16,48963240
2026-02-05,81.49,83.3,80.535,80.87,54805690
2026-02-06,81.02,82.485,80.65,82.2,46154060
2026-02-09,82.18,82.205,79.87,81.47,42200210
2026-02-10,82.715,84.66,82.09,82.21,43595790
2026-02-11,81.96,82.48,79.45,79.62,40840270
2026-02-12,79.11,79.15,75.23,75.86,73516070
2026-02-13,76.14,77.18,75.53,76.87,42292080
2026-02-17,76.92,77.87,75.3,77.0,35961510
2026-02-18,77.32,78.32,76.28,77.99,29883110
2026-02-19,77.75,78.7,76.59,77.0,30139200
2026-02-20,76.61,78.85,76.4,78.67,32411320
2026-02-23,77.79,77.83,75.01,76.02,38363020
2026-02-24,75.73,78.12,75.21,78.04,33079060
2026-02-25,79.43,83.117,79.25,82.7,69319330
2026-02-26,83.2,86.5,82.8,84.59,85642490
2026-02-27,94.295,96.75,90.58,96.24,200767000
2026-03-02,95.26,98.07,95.2,97.09,79915360
2026-03-03,96.01,98.46,95.33,97.7,59149000
2026-03-04,97.105,99.75,96.99,98.66,52604270
2026-03-05,98.5,100.19,98.1,99.17,53403050
2026-03-06,99.33,99.88,97.4,99.02,41196290
2026-03-09,97.7,98.94,96.58,98.32,48589010
2026-03-10,97.805,98.49,96.29,96.94,41027160
2026-03-11,97.41,98.0,94.685,94.89,33962860
2026-03-12,94.86,95.4,93.87,94.31,34206860
2026-03-13,94.64,95.68,94.24,95.31,29876660
2026-03-16,95.58,96.1,94.36,95.2,34931830
2026-03-17,95.3,96.34,94.01,94.36,26434500
2026-03-18,94.445,95.335,93.61,94.7,27878320
2026-03-19,94.31,95.75,90.775,91.74,40169250
2026-03-20,91.31,91.88,90.69,91.82,61678010
2026-03-23,92.04,93.98,91.86,93.38,34315870
2026-03-24,92.79,93.7398,90.815,90.92,28938030
2026-03-25,91.71,92.52,91.235,92.28,29545630
2026-03-26,91.52,95.86,91.01,93.32,59522030
2026-03-27,94.57,95.5799,92.74,93.43,44590670
2026-03-30,92.75,94.49,92.22,92.97,32375140
2026-03-31,93.03,96.26,93.03,96.15,54269960
2026-04-01,96.47,97.2,94.264,95.55,30439310
2026-04-02,95.27,98.71,95.17,98.66,37068020
2026-04-06,100.96,102.685,97.97,98.93,37029330
2026-04-07,98.55,99.875,98.25,98.82,25016720
2026-04-08,100.32,100.4,97.44,99.39,30957620
2026-04-09,99.63,102.34,99.08,102.05,35087760
2026-04-10,102.47,103.08,101.46,103.01,25769910
2026-04-13,103.032,103.665,102.06,103.16,26042800
2026-04-14,103.12,106.57,103.04,106.28,40534870
2026-04-15,105.98,107.85,105.04,107.71,38023680
2026-04-16,107.47,108.945,106.6201,107.79,64928250
2026-04-17,96.37,98.74,95.1,97.31,125958700
2026-04-20,97.14,97.6,93.54,94.83,63298260
2026-04-21,94.0,94.65,92.37,92.58,61962280
2026-04-22,93.06,93.85,92.77,93.24,33694350
2026-04-23,94.06,94.64,92.073,92.82,36851670
2026-04-24,92.57,93.28,91.8,92.44,32553180
2026-04-27,92.05,92.84,91.3,91.37,29707440
2026-04-28,91.5,92.34,90.02,92.27,33418130
2026-04-29,91.23,92.855,90.86,92.12,26122090
2026-04-30,91.35,94.22,90.77,93.61,40923010
2026-05-01,94.42,94.7,91.9,92.06,30406880
2026-05-04,92.1,92.33,90.89,91.02,25928820
2026-05-05,91.18,91.28,87.565,87.89,51961340
2026-05-06,87.15,88.55,86.715,88.27,41932440
2026-05-07,88.2,89.3991,88.13,88.25,30627600
2026-05-08,87.71,88.04,87.21,87.49,36215110
2026-05-11,86.525,87.34,85.1,85.45,40556460
2026-05-12,85.905,89.17,85.81,87.66,43556600
2026-05-13,86.565,88.62,86.28,87.56,30823500
2026-05-14,87.62,88.5,86.65,86.94,29408300
2026-05-15,87.69,89.49,86.685,87.02,32335660
2026-05-18,86.495,89.815,86.33,89.65,35800480
2026-05-19,90.14,91.48,88.69,89.33,34545730
2026-05-20,88.515,88.55,87.5,88.09,23463360
2026-05-21,88.03,90.3699,87.5201,89.3,28613850
2026-05-22,89.1,89.9699,88.17,88.6,23847200
2026-05-26,88.4,88.73,87.25,87.68,24014540
2026-05-27,87.046,88.495,86.82,87.35,22569540
2026-05-28,86.895,87.04,85.585,86.36,38803800
2026-05-29,86.2,86.67,85.66,86.02,39793620
2026-06-01,85.725,87.225,85.315,85.85,32747220
2026-06-02,85.605,85.9799,83.29,83.33,42947160
2026-06-03,82.91,83.31,81.1001,81.52,36714740
2026-06-04,83.19,83.7,81.37,81.56,39338810
2026-06-05,82.325,82.754,81.0,82.18,43474110
2026-06-08,81.66,83.0798,81.34,82.64,33056690
2026-06-09,82.125,82.34,81.34,81.41,34787190
2026-06-10,81.71,82.75,80.9772,82.0,36304580
2026-06-11,81.87,82.1,80.09,81.27,33417640
2026-06-12,81.575,82.0,79.28,80.34,35344170
2026-06-15,80.615,81.71,80.46,81.67,36430800
2026-06-16,81.9,81.93,77.71,78.72,65054030
2026-06-17,78.1,78.445,76.76,76.96,50338780
2026-06-18,76.93,78.235,76.12,77.38,91920410
2026-06-22,76.135,77.09,71.81,72.88,82203260
2026-06-23,73.26,73.9607,72.63,72.82,50806830
2026-06-24,72.685,73.45,71.625,71.84,48001450
2026-06-25,71.33,72.94,70.86,70.9,44581990
2026-06-26,71.69,75.2,71.53,73.81,74990270
2026-06-29,74.615,76.0689,73.73,73.78,42429600
2026-06-30,73.59,73.745,71.0,71.4,49240900
2026-07-01,72.59,74.355,72.33,74.19,43841800
2026-07-02,75.09,78.44,74.91,77.65,55541740
2026-07-06,77.075,77.84,75.71,76.02,45056560
2026-07-07,77.88,78.19,76.1,76.18,33257270
2026-07-08,76.27,76.64,74.89,75.59,34373500
2026-07-09,74.295,75.55,74.02,75.47,36305650
2026-07-10,75.44,75.6986,72.51,73.37,46713940
2026-07-13,73.9,75.45,73.71,73.83,35101790
2026-07-14,72.635,74.005,72.2775,73.53,33312090
2026-07-15,73.785,75.06,73.13,73.68,32854300
2026-07-16,73.95,74.68,72.9401,74.35,77505200
2026-07-17,65.48,69.49,65.08,68.95,142029200
