date,open,high,low,close,volume
2025-09-02,57.54,58.635,56.99,58.53,5676323
2025-09-03,58.12,58.85,57.7,57.75,6762677
2025-09-04,58.0,58.24,57.48,58.15,5880068
2025-09-05,58.08,58.805,57.755,58.27,7378092
2025-09-08,58.13,58.255,57.4,58.2,6399619
2025-09-09,58.14,58.155,57.6,58.01,4616833
2025-09-10,57.88,57.88,56.605,57.34,7207455
2025-09-11,57.54,58.71,57.47,58.71,5808502
2025-09-12,59.85,60.0,58.475,58.5,12020560
2025-09-15,58.96,59.02,58.32,58.95,4773530
2025-09-16,58.98,59.39,58.16,58.46,6786947
2025-09-17,58.27,59.57,58.22,58.73,6253045
2025-09-18,58.8,59.4,58.475,59.26,5922797
2025-09-19,59.5,59.52,58.73,58.98,13159560
2025-09-22,58.78,59.177,58.46,58.88,7634177
2025-09-23,59.05,59.92,58.455,58.58,5898999
2025-09-24,60.1,60.155,59.06,59.92,10756140
2025-09-25,59.53,60.63,59.11,60.59,7740100
2025-09-26,60.65,61.9833,60.455,61.24,8641382
2025-09-29,61.85,62.14,60.75,61.12,9788442
2025-09-30,61.71,62.06,60.55,60.97,6964798
2025-10-01,60.94,61.585,60.13,61.34,8094432
2025-10-02,61.48,61.5,59.21,59.36,9614624
2025-10-03,59.32,60.61,58.67,60.13,13031920
2025-10-06,59.94,59.94,58.125,58.19,8921528
2025-10-07,58.63,58.66,56.63,57.26,10702890
2025-10-08,57.33,57.7,56.24,56.4,5429993
2025-10-09,56.78,56.865,55.91,55.92,5441819
2025-10-10,56.24,56.55,55.215,55.35,5454388
2025-10-13,55.9,56.2,55.35,55.62,3993580
2025-10-14,54.51,57.25,54.33,57.15,9005010
2025-10-15,57.26,58.25,57.01,57.8,7976919
2025-10-16,57.885,58.4,56.81,57.34,6061258
2025-10-17,57.73,59.17,57.55,58.38,7956170
2025-10-20,58.54,58.555,57.68,58.0,10184610
2025-10-21,63.76,67.55,62.36,66.62,43706530
2025-10-22,67.05,67.585,65.89,67.31,18831870
2025-10-23,67.97,68.48,66.57,66.85,12647200
2025-10-24,67.46,69.7,67.29,69.66,12570970
2025-10-27,69.57,69.63,68.79,69.38,9724755
2025-10-28,69.46,70.19,68.66,69.87,13072230
2025-10-29,69.61,70.24,68.59,69.13,10575890
2025-10-30,68.66,69.78,68.3864,68.67,7559509
2025-10-31,68.78,69.32,68.63,69.09,6993609
2025-11-03,68.89,68.93,67.775,68.22,10252280
2025-11-04,68.0,68.13,66.75,66.87,8478213
2025-11-05,67.04,69.26,67.04,68.77,7807039
2025-11-06,68.685,69.4,68.21,68.84,6086742
2025-11-07,68.95,70.76,68.575,70.75,8408534
2025-11-10,71.0,71.335,69.87,71.05,8592733
2025-11-11,71.12,71.64,70.985,71.22,6164003
2025-11-12,71.17,72.39,70.985,71.84,9167247
2025-11-13,72.16,72.87,71.48,71.89,9004261
2025-11-14,71.36,71.765,70.44,70.52,7100875
2025-11-17,70.31,70.46,67.491,67.91,8032061
2025-11-18,67.83,68.42,67.06,67.93,6092657
2025-11-19,68.0,69.66,67.61,68.5,10557130
2025-11-20,68.94,69.89,67.78,68.04,9385199
2025-11-21,68.29,70.5289,68.19,70.33,10852440
2025-11-24,70.48,71.2201,70.25,71.0,13768140
2025-11-25,71.15,73.105,71.15,72.78,12089670
2025-11-26,72.44,73.445,72.22,72.81,7704267
2025-11-28,72.94,73.86,72.91,73.52,3754998
