date,open,high,low,close,volume
2025-09-02,727.99,737.14,723.64,735.19,3222500
2025-09-03,732.02,737.83,729.02,737.83,2222479
2025-09-04,736.315,747.0,735.33,742.91,2423422
2025-09-05,744.7,744.7,722.57,727.21,3958249
2025-09-08,729.71,742.7,719.2183,738.64,4534603
2025-09-09,734.18,752.8394,733.87,750.61,2986919
2025-09-10,748.09,755.8015,742.485,754.62,2477423
2025-09-11,752.48,761.13,750.37,756.28,2197534
2025-09-12,760.17,761.6,748.0,755.39,2198276
2025-09-15,753.07,756.335,742.11,748.19,2790856
2025-09-16,745.405,770.3799,744.54,764.71,3881298
2025-09-17,761.485,776.96,756.344,760.13,3471175
2025-09-18,761.38,772.535,759.0101,762.93,3463976
2025-09-19,765.0,765.0,749.2,751.99,7349452
2025-09-22,748.56,762.04,746.265,754.95,2527396
2025-09-23,750.57,752.9999,743.17,746.98,2910123
2025-09-24,745.99,746.94,736.16,741.85,2243014
2025-09-25,737.67,740.0,712.05,714.59,5136364
2025-09-26,724.12,729.0,717.08,724.54,3559673
2025-09-29,725.55,727.8585,716.0778,726.51,3309245
2025-09-30,726.96,766.3499,725.3101,763.0,6234280
2025-10-01,763.3,833.3,763.3,825.42,10124470
2025-10-02,814.355,834.46,812.81,819.85,4291766
2025-10-03,824.94,848.13,816.1,839.87,5088509
2025-10-06,839.95,856.57,838.66,845.05,3651387
2025-10-07,845.0,848.5361,836.58,843.63,2610798
2025-10-08,850.0,856.0,844.99,845.72,2180943
2025-10-09,851.69,860.25,845.7,855.35,3071666
2025-10-10,858.0,864.35,830.11,833.49,3430964
2025-10-13,832.68,835.32,817.35,819.4,2167468
2025-10-14,822.09,822.09,806.0,812.35,1928371
2025-10-15,812.5,830.19,808.58,826.57,2355840
2025-10-16,825.07,834.7,815.37,819.38,2272909
2025-10-17,788.96,804.44,783.8454,802.83,3982950
2025-10-20,805.6,809.41,799.77,808.96,2279715
2025-10-21,806.93,812.99,798.71,799.57,2099488
2025-10-22,798.4,815.94,793.82,812.43,2930642
2025-10-23,806.4,824.7,806.02,821.04,2632946
2025-10-24,815.21,834.15,812.5001,825.45,2211150
2025-10-27,825.0,826.42,811.48,826.41,2114752
2025-10-28,826.0,829.4599,814.053,820.1,2493547
2025-10-29,827.31,830.29,809.63,813.53,3591234
2025-10-30,837.5,853.0,812.25,844.5,6037167
2025-10-31,839.16,869.91,834.19,862.86,5015016
2025-11-03,866.53,901.3393,862.62,896.53,5401481
2025-11-04,891.41,915.22,883.64,906.86,5911474
2025-11-05,911.0,955.46,907.86,925.81,7272941
2025-11-06,928.0,949.9,916.263,937.44,6417358
2025-11-07,931.17,932.0,900.9,924.37,4373438
2025-11-10,939.74,981.99,938.405,966.64,5696640
2025-11-11,966.55,999.95,965.285,988.62,4166380
2025-11-12,993.12,1022.42,990.1,1017.78,5185236
2025-11-13,1010.085,1032.95,1010.085,1022.87,4153595
2025-11-14,1009.0,1033.6185,1007.785,1025.28,3862267
2025-11-17,1003.72,1032.141,998.3015,1021.7,4719957
2025-11-18,1014.01,1040.7245,1014.01,1030.05,3430529
2025-11-19,1029.64,1055.59,1026.25,1049.6,3571220
2025-11-20,1045.5,1057.0,1038.25,1043.29,3135742
2025-11-21,1041.0,1066.65,1038.0,1059.7,4266704
2025-11-24,1056.77,1075.72,1049.38,1070.16,5497189
2025-11-25,1075.825,1111.11,1073.25,1109.94,4181487
2025-11-26,1102.0,1111.99,1098.1,1104.34,3093673
2025-11-28,1096.72,1099.05,1067.69,1075.47,2732168
2025-12-01,1074.38,1084.15,1055.0,1057.89,3070153
2025-12-02,1052.57,1068.18,1040.36,1046.12,3279960
2025-12-03,1046.39,1051.4781,1022.32,1033.56,3447003
2025-12-04,1032.625,1032.625,1007.1828,1014.49,3854911
2025-12-05,1023.84,1027.3899,1004.0,1010.31,2502066
2025-12-08,1010.74,1014.2,988.88,997.59,3088557
2025-12-09,1002.84,1011.9999,979.1801,982.22,2569724
2025-12-10,985.0,1003.0,977.12,993.64,2966270
2025-12-11,1008.15,1031.5608,987.0,1009.38,4516960
2025-12-12,1008.76,1028.9,1003.5,1027.51,3275239
2025-12-15,1032.55,1065.0,1032.55,1062.19,4648449
2025-12-16,1063.5,1068.25,1036.23,1054.29,4024473
2025-12-17,1064.3,1064.3,1036.41,1041.79,3726575
2025-12-18,1041.8,1079.26,1039.54,1056.88,3848624
2025-12-19,1059.01,1075.38,1059.01,1071.44,5829051
2025-12-22,1076.72,1083.48,1063.0,1076.48,2625621
2025-12-23,1063.5,1088.48,1063.5,1071.64,2108561
2025-12-24,1074.64,1085.73,1072.71,1076.98,932804
2025-12-26,1076.98,1081.39,1068.3,1077.75,1014640
2025-12-29,1077.95,1085.5,1074.38,1078.73,1653011
2025-12-30,1078.96,1082.37,1072.07,1079.75,1251498
2025-12-31,1079.76,1083.5,1074.43,1074.68,1646696
2026-01-02,1076.4,1080.66,1052.08,1080.36,2469097
2026-01-05,1069.23,1085.38,1033.3801,1041.51,4084836
2026-01-06,1044.11,1070.8299,1039.93,1064.04,2690707
2026-01-07,1077.0,1117.66,1075.96,1108.09,4652779
2026-01-08,1113.69,1133.95,1070.15,1085.19,3156034
2026-01-09,1086.825,1104.52,1063.03,1063.56,2561927
2026-01-12,1058.0,1083.36,1058.0,1081.0,2380245
2026-01-13,1083.0,1090.2229,1069.09,1077.19,2194166
2026-01-14,1081.75,1083.9999,1061.12,1073.29,1912603
2026-01-15,1062.56,1067.65,1012.57,1032.97,4183400
2026-01-16,1024.43,1049.94,1018.0,1038.4,3828963
2026-01-20,1028.145,1045.85,1015.96,1041.29,2484927
2026-01-21,1043.86,1081.33,1042.02,1078.52,3685876
2026-01-22,1078.52,1095.48,1071.74,1087.38,2478217
2026-01-23,1083.73,1084.32,1063.0218,1064.29,2592850
2026-01-26,1062.21,1067.08,1043.32,1062.75,2244862
2026-01-27,1064.11,1073.39,1034.81,1039.51,2587863
2026-01-28,1029.11,1029.69,1004.14,1023.8,3300244
2026-01-29,1025.36,1039.9999,1018.0,1024.14,2293016
2026-01-30,1033.3,1048.569,1020.0,1037.15,3303144
2026-02-02,1037.57,1057.41,1037.57,1044.13,2757079
2026-02-03,1040.75,1048.8,993.58,1003.46,5483921
2026-02-04,1075.12,1114.0,1065.0,1107.12,7119387
2026-02-05,1065.5,1075.0,1005.83,1020.84,7742385
2026-02-06,1056.0,1060.02,1033.27,1058.18,4887117
2026-02-09,1077.09,1106.94,1042.92,1044.67,3423770
2026-02-10,1050.66,1055.65,1023.875,1025.0,3539394
2026-02-11,1026.5,1030.1,1012.6179,1015.21,2599875
2026-02-12,1024.87,1059.84,1012.0,1038.27,3592172
2026-02-13,1039.98,1064.34,1033.69,1040.0,2698728
2026-02-17,1045.61,1067.0,1034.88,1036.05,2984593
2026-02-18,1032.36,1037.54,1011.31,1020.56,3236905
2026-02-19,1010.82,1025.225,1007.0,1023.22,2145764
2026-02-20,1023.86,1028.65,1002.46,1009.52,3249409
2026-02-23,1047.02,1064.4499,1034.0001,1058.56,4767602
2026-02-24,1042.95,1058.9,1024.08,1042.15,2803100
2026-02-25,1036.58,1053.625,1027.0,1028.83,2481897
2026-02-26,1024.08,1026.915,1007.3801,1022.02,2666432
2026-02-27,1019.17,1053.0,1017.36,1051.99,4325931
2026-03-02,1044.62,1056.2,1013.0,1017.97,3094287
2026-03-03,1015.0,1020.01,995.07,1007.73,2845962
2026-03-04,1011.63,1015.6599,993.66,1003.57,1965539
2026-03-05,990.0,993.56,965.6,983.26,3774397
2026-03-06,975.0,991.22,966.0901,990.33,2627805
2026-03-09,986.89,1008.93,980.58,1008.39,2802169
2026-03-10,1006.0,1012.0,994.0,1001.35,1663668
2026-03-11,1000.03,1002.93,990.3,999.84,1448032
2026-03-12,993.45,994.5,973.16,977.25,2340074
2026-03-13,980.13,1003.22,978.0,985.08,1984353
2026-03-16,991.98,998.17,975.51,989.12,2289888
2026-03-17,978.92,981.165,925.25,930.35,5637508
2026-03-18,925.0,929.0,905.11,918.05,3443808
2026-03-19,914.0,924.53,910.86,917.5,2378979
2026-03-20,910.55,925.375,899.29,906.7,4818789
2026-03-23,913.49,926.775,907.23,910.55,2817548
2026-03-24,907.0,908.6699,895.61,903.02,2572679
2026-03-25,912.49,922.15,909.09,916.31,2177748
