date,open,high,low,close,volume
2025-09-02,157.44,157.8,150.21,150.28,17348610
2025-09-03,149.95,150.46,147.11,148.64,11259200
2025-09-04,149.02,149.47,146.45,146.89,6342232
2025-09-05,146.0,147.88,145.28,146.39,7186260
2025-09-08,145.72,145.72,140.345,141.71,11127620
2025-09-09,141.18,143.63,141.1,143.1,5866442
2025-09-10,142.23,143.11,141.42,142.66,6015122
2025-09-11,142.89,144.75,142.5,144.23,6144363
2025-09-12,144.07,144.245,142.9,143.53,5714114
2025-09-15,143.395,143.53,140.5312,140.64,7279639
2025-09-16,140.69,141.31,139.91,140.03,9283480
2025-09-17,140.17,142.045,140.15,141.23,6092884
2025-09-18,140.635,141.63,140.3901,140.73,6106557
2025-09-19,141.46,142.08,140.46,141.76,12365530
2025-09-22,141.08,141.52,139.9395,141.03,5797558
2025-09-23,141.035,142.23,139.96,141.9,6356489
2025-09-24,141.81,142.34,141.015,142.17,5949145
2025-09-25,143.0,143.42,139.86,139.92,7101666
2025-09-26,139.94,140.99,139.85,140.44,6224693
2025-09-29,140.44,140.67,139.1242,140.17,11930250
2025-09-30,140.17,141.025,139.8301,140.44,7583411
2025-10-01,140.81,143.37,140.48,143.14,5880796
2025-10-02,141.89,143.25,141.37,142.31,4497315
2025-10-03,142.265,143.36,141.86,141.98,5425725
2025-10-06,141.77,141.85,138.88,139.7,6750712
2025-10-07,140.37,141.84,139.69,140.79,6110309
2025-10-08,140.79,140.98,138.69,138.84,8256741
2025-10-09,140.46,144.74,138.59,144.71,13706630
2025-10-10,145.63,150.815,145.0,150.08,17545160
2025-10-13,148.65,149.98,147.34,148.89,7271983
2025-10-14,148.69,151.62,148.5,151.54,8371136
2025-10-15,151.33,152.39,149.17,151.16,6101096
2025-10-16,152.38,154.375,152.29,152.67,8532889
2025-10-17,153.77,153.91,151.735,153.71,6710141
2025-10-20,154.42,154.42,152.715,153.64,4810592
2025-10-21,154.7,155.19,152.84,153.18,5614266
2025-10-22,153.15,155.18,152.71,153.03,6485959
2025-10-23,153.17,153.4,151.03,151.51,6091762
2025-10-24,152.04,152.415,151.265,151.55,3580182
2025-10-27,151.01,152.87,150.96,152.63,4744578
2025-10-28,151.41,153.2105,149.92,150.12,5626528
2025-10-29,148.05,148.6648,143.67,146.16,7767556
2025-10-30,146.34,148.09,146.25,147.55,5752708
2025-10-31,146.2,147.0,145.3,146.09,6313592
2025-11-03,145.86,145.91,143.25,143.6,8331545
2025-11-04,144.7,144.93,142.06,142.9,8302941
2025-11-05,142.9,143.28,141.58,142.86,7136424
2025-11-06,142.41,143.205,141.3,141.58,6449386
2025-11-07,142.93,144.05,141.65,142.95,7592652
2025-11-10,142.49,143.02,141.26,142.62,6617494
2025-11-11,143.28,145.76,142.68,145.08,7683573
2025-11-12,144.56,145.495,144.06,144.39,5790488
2025-11-13,144.1,146.39,143.65,145.02,6663264
2025-11-14,145.89,146.84,143.93,145.85,5770478
2025-11-17,146.12,148.105,145.22,147.83,7320150
2025-11-18,148.3,149.8292,147.45,148.77,10821530
2025-11-19,148.3,148.8,146.69,147.11,8123236
2025-11-20,146.6,147.08,144.9,146.1,6878914
2025-11-21,146.28,148.935,145.98,146.33,7911761
2025-11-24,145.83,146.34,144.76,145.5,9391443
2025-11-25,145.93,147.12,145.57,146.11,8953952
2025-11-26,146.32,148.47,146.2272,147.98,5180946
2025-11-28,147.23,148.82,147.23,148.74,2969300
2025-12-01,148.625,149.82,148.51,149.51,7623275
2025-12-02,149.46,149.51,146.53,148.61,6830290
2025-12-03,148.69,150.7,147.91,148.06,5109218
2025-12-04,147.75,148.25,146.13,146.91,6802969
2025-12-05,145.62,145.8,144.51,145.02,5971510
2025-12-08,145.01,146.56,144.2,145.63,6327412
2025-12-09,146.35,147.56,143.91,144.64,10035180
2025-12-10,147.77,149.78,147.0,149.7,18526430
2025-12-11,150.15,150.89,148.13,149.04,7854008
2025-12-12,149.75,150.67,148.74,150.65,8143100
2025-12-15,150.935,151.7,150.28,151.22,8409625
2025-12-16,151.985,152.35,149.985,150.37,7520334
2025-12-17,150.38,151.24,149.48,150.08,8067133
2025-12-18,149.8,150.37,149.25,149.37,6643173
2025-12-19,149.145,149.8929,147.9,148.16,17543520
2025-12-22,147.525,148.98,146.41,147.05,8818726
2025-12-23,147.19,147.19,143.56,143.68,7254772
2025-12-24,143.79,143.99,142.95,143.74,2618700
2025-12-26,143.56,143.94,143.09,143.78,4975533
2025-12-29,143.74,145.05,143.6,144.24,7201890
2025-12-30,143.97,145.27,143.92,144.16,4713783
2025-12-31,143.825,144.03,143.16,143.52,4380343
2026-01-02,143.22,143.41,142.1,142.23,7182054
2026-01-05,141.66,141.81,139.4,139.92,9031377
2026-01-06,139.68,140.0574,138.565,138.96,9576481
2026-01-07,139.215,139.8299,136.955,137.01,8539847
2026-01-08,136.57,139.48,136.01,139.37,8762824
2026-01-09,139.44,140.79,138.7,139.91,6767560
2026-01-12,139.91,141.51,138.56,141.36,12223440
2026-01-13,141.1,143.65,141.04,143.48,9030241
2026-01-14,143.14,146.3,143.136,145.92,8329463
2026-01-15,146.06,147.017,145.53,146.57,5797798
2026-01-16,147.16,147.55,145.51,146.32,10313490
2026-01-20,146.215,147.66,144.32,147.66,9982823
2026-01-21,147.05,148.01,144.94,146.74,7679571
2026-01-22,146.68,147.13,144.17,144.4,8167356
2026-01-23,143.86,144.84,143.06,144.58,5870098
2026-01-26,144.8,145.92,144.14,145.87,6589570
2026-01-27,145.75,148.82,145.33,148.78,7114901
2026-01-28,148.41,150.04,147.76,148.5,5954075
2026-01-29,148.835,150.86,148.44,148.69,9062259
2026-01-30,149.01,153.89,148.59,153.63,12641260
2026-02-02,154.06,156.62,153.19,155.2,14660510
2026-02-03,156.6,163.44,155.5001,162.85,19096430
2026-02-04,164.89,167.94,164.17,166.18,13322900
2026-02-05,166.51,168.01,165.25,167.53,11038830
2026-02-06,167.45,170.75,167.255,170.49,10960440
2026-02-09,169.5,169.93,164.9415,166.47,10316240
2026-02-10,165.75,167.4074,163.74,166.97,10352920
2026-02-11,167.65,170.27,166.02,169.15,6733819
2026-02-12,169.755,171.48,167.09,167.2,9516273
2026-02-13,167.2,167.88,164.995,165.94,9286336
2026-02-17,166.12,167.54,160.81,161.92,8749818
2026-02-18,161.79,164.53,160.6321,164.39,7239829
2026-02-19,164.39,165.05,163.1311,164.59,6155811
2026-02-20,164.65,164.97,163.02,164.94,4811816
2026-02-23,164.49,168.81,164.24,168.32,6801623
2026-02-24,168.23,169.785,167.7701,169.54,6319783
2026-02-25,168.61,169.5,166.0,169.17,6832706
2026-02-26,169.63,170.06,167.16,167.58,7219301
2026-02-27,168.38,170.28,167.82,169.74,10585170
2026-03-02,169.045,169.54,167.14,167.28,7263987
2026-03-03,166.54,167.22,163.67,164.91,6718114
2026-03-04,165.04,165.93,163.37,163.92,6855436
2026-03-05,162.16,163.4,160.16,160.7,7133688
2026-03-06,158.25,159.53,156.085,159.43,5938308
2026-03-09,159.17,162.43,158.095,161.53,6415969
2026-03-10,160.7,162.86,159.59,160.78,5341336
2026-03-11,160.31,160.905,157.89,160.15,4360726
2026-03-12,158.87,161.54,158.69,158.86,6165981
2026-03-13,159.78,161.51,159.24,159.88,4676821
2026-03-16,161.36,161.58,157.54,157.72,4498710
2026-03-17,158.83,159.11,156.29,156.5,5460242
2026-03-18,155.25,156.12,153.29,153.54,5124370
2026-03-19,153.745,154.68,152.66,152.74,5555526
2026-03-20,152.45,153.41,149.34,150.04,14480710
2026-03-23,152.3,152.3,149.94,150.88,6783206
2026-03-24,150.45,152.575,150.195,150.59,5804024
2026-03-25,151.295,151.84,149.03,151.73,4978532
2026-03-26,151.93,153.15,150.67,150.83,5677124
2026-03-27,151.14,154.54,150.47,153.04,6663855
2026-03-30,153.82,158.39,153.3701,156.82,10386800
2026-03-31,157.67,157.67,154.17,155.29,8033786
2026-04-01,153.55,155.15,153.26,154.65,5412574
2026-04-02,154.66,157.06,154.2187,157.01,5409982
2026-04-06,156.41,156.86,155.4,156.73,3562848
2026-04-07,156.18,156.54,152.572,153.21,5151133
2026-04-08,151.88,154.82,151.7528,154.8,6878878
2026-04-09,153.7,158.01,153.25,157.49,4339799
2026-04-10,157.16,157.79,156.325,157.06,4412742
2026-04-13,156.99,157.03,154.95,155.88,5827814
2026-04-14,154.51,156.625,154.29,155.72,5655766
2026-04-15,155.02,155.7599,153.34,154.85,7684834
2026-04-16,155.54,159.79,154.2627,158.38,10422050
2026-04-17,158.255,160.025,156.47,157.67,7799930
2026-04-20,158.74,158.84,155.84,156.99,5731013
2026-04-21,156.74,157.04,153.73,154.92,6357256
2026-04-22,155.075,157.22,153.55,153.79,5921320
2026-04-23,155.155,156.61,154.57,155.7,6077621
2026-04-24,155.93,156.28,154.66,155.44,5364948
2026-04-27,155.53,156.65,154.0,154.1,4077005
2026-04-28,156.8,158.11,155.3219,156.29,5174311
2026-04-29,155.59,156.49,153.48,155.29,4047631
2026-04-30,155.98,159.0,155.28,158.49,7065546
2026-05-01,159.55,160.0,156.43,157.41,4447358
2026-05-04,155.9,156.73,153.665,154.59,5331240
2026-05-05,154.05,156.31,152.54,155.04,6200143
2026-05-06,155.8,156.9277,154.865,155.96,5296905
2026-05-07,155.01,157.35,154.88,156.29,4464045
2026-05-08,156.75,157.3,154.38,154.62,4934779
2026-05-11,154.39,154.7,149.06,149.41,8373262
2026-05-12,150.54,152.72,148.355,151.85,6250654
2026-05-13,150.69,153.24,148.96,149.27,5524860
2026-05-14,149.5,149.99,148.15,148.67,5022216
2026-05-15,149.56,150.11,148.19,149.12,6230649
2026-05-18,149.99,150.12,147.48,149.06,8799358
2026-05-19,150.3,152.57,148.97,150.37,10093900
2026-05-20,149.57,150.65,148.39,149.29,7425807
2026-05-21,149.29,149.67,146.38,148.85,6123142
2026-05-22,149.41,150.8396,148.54,150.57,7775461
2026-05-26,149.71,150.25,145.5,145.68,9067004
2026-05-27,146.27,148.9138,145.7,147.74,7405760
2026-05-28,147.77,148.61,145.62,146.29,7631921
2026-05-29,145.14,146.765,143.5462,144.19,12779200
2026-06-01,142.585,144.11,141.32,141.52,8077342
2026-06-02,141.54,142.89,140.81,142.0,7864652
2026-06-03,141.785,143.68,141.77,142.54,6225123
2026-06-04,144.86,145.7,141.205,142.15,8089821
2026-06-05,141.56,144.34,141.21,141.92,13228690
2026-06-08,140.92,141.86,139.26,140.68,8800466
2026-06-09,141.53,144.2999,140.8501,142.78,10390160
2026-06-10,143.945,145.45,143.0,144.32,11249230
