date,open,high,low,close,volume
2025-09-02,142.99,143.74,140.99,141.41,1018831
2025-09-03,140.84,141.374,139.81,140.7,1054831
2025-09-04,141.98,142.45,140.74,141.57,1128405
2025-09-05,141.99,143.6,141.5793,143.6,782181
2025-09-08,142.65,143.225,139.02,140.02,1331826
2025-09-09,139.53,140.6,138.73,140.09,725591
2025-09-10,140.21,140.48,137.53,138.5,989965
2025-09-11,138.75,139.76,137.6701,139.63,926642
2025-09-12,138.5,139.886,138.21,139.28,994552
2025-09-15,139.3,139.65,137.24,137.58,1084092
2025-09-16,137.4,138.3,136.18,136.25,1055963
2025-09-17,136.84,137.94,135.88,136.09,1024091
2025-09-18,134.13,135.79,133.3,135.39,1197387
2025-09-19,135.01,135.655,134.38,135.06,2660206
2025-09-22,135.07,136.24,134.79,135.05,1021468
2025-09-23,134.89,137.35,133.86,137.18,1251510
2025-09-24,136.42,137.1,135.28,136.41,1700555
2025-09-25,137.66,138.125,135.03,135.1,1433363
2025-09-26,135.28,136.52,135.2074,136.36,911082
2025-09-29,136.16,137.28,135.04,137.04,1200396
2025-09-30,137.41,139.42,137.13,139.19,1428766
2025-10-01,139.4,139.62,136.03,136.07,1250291
2025-10-02,135.49,137.12,135.02,135.59,1114622
2025-10-03,135.57,138.22,135.57,137.75,967204
2025-10-06,137.75,138.99,136.67,138.94,1555522
2025-10-07,139.38,142.965,139.12,142.51,1815748
2025-10-08,143.51,143.51,140.2,141.03,952576
2025-10-09,141.45,141.75,140.2027,141.05,988764
2025-10-10,141.75,144.04,140.14,142.98,1513085
2025-10-13,141.0,141.991,139.21,139.63,1321906
2025-10-14,139.96,143.525,139.5,141.56,1629374
2025-10-15,141.49,143.11,141.02,142.53,1007555
2025-10-16,142.23,144.295,142.23,143.21,845578
2025-10-17,143.53,144.82,142.82,143.81,1306596
2025-10-20,143.99,145.61,143.02,145.43,1107188
2025-10-21,145.45,145.64,142.8,144.16,1096221
2025-10-22,143.33,145.42,142.85,143.73,828398
2025-10-23,144.24,144.88,141.645,142.58,746416
2025-10-24,143.49,143.49,141.51,141.59,966471
2025-10-27,139.03,140.5,135.4,137.99,3438853
2025-10-28,137.9,139.59,134.31,134.81,2031462
2025-10-29,133.86,134.46,129.9573,130.06,2211027
